      Diff_Coef       Frequency         Real(c)         Imag(c)
          cm2/s              Hz                                
    1.00000E-01     1.58489E+04     1.25025E-01    -2.52332E-03
    1.00000E-01     1.99526E+04     1.25016E-01    -2.00449E-03
    1.00000E-01     2.51189E+04     1.25010E-01    -1.59230E-03
    1.00000E-01     3.16228E+04     1.25006E-01    -1.26485E-03
    1.00000E-01     3.98107E+04     1.25004E-01    -1.00472E-03
    1.00000E-01     5.01187E+04     1.25003E-01    -7.98089E-04
    1.00000E-01     6.30957E+04     1.25002E-01    -6.33949E-04
    1.00000E-01     7.94328E+04     1.25001E-01    -5.03566E-04
    1.00000E-01     1.00000E+05     1.25001E-01    -3.99998E-04
    1.00000E-02     1.00000E-05     5.00000E+01    -4.16406E-03
    1.00000E-02     1.25893E-05     5.00000E+01    -5.24224E-03
    1.00000E-02     1.58489E-05     5.00000E+01    -6.59959E-03
    1.00000E-02     1.99526E-05     5.00000E+01    -8.30840E-03
    1.00000E-02     2.51189E-05     5.00000E+01    -1.04597E-02
    1.00000E-02     3.16228E-05     5.00000E+01    -1.31679E-02
    1.00000E-02     3.98107E-05     5.00000E+01    -1.65774E-02
    1.00000E-02     5.01187E-05     5.00000E+01    -2.08697E-02
    1.00000E-02     6.30957E-05     5.00000E+01    -2.62734E-02
    1.00000E-02     7.94328E-05     5.00000E+01    -3.30763E-02
    1.00000E-02     1.00000E-04     5.00000E+01    -4.16406E-02
    1.00000E-02     1.25893E-04     4.99999E+01    -5.24224E-02
    1.00000E-02     1.58489E-04     4.99999E+01    -6.59958E-02
    1.00000E-02     1.99526E-04     4.99998E+01    -8.30836E-02
    1.00000E-02     2.51189E-04     4.99997E+01    -1.04596E-01
    1.00000E-02     3.16228E-04     4.99996E+01    -1.31678E-01
    1.00000E-02     3.98107E-04     4.99993E+01    -1.65772E-01
    1.00000E-02     5.01187E-04     4.99990E+01    -2.08692E-01
    1.00000E-02     6.30957E-04     4.99983E+01    -2.62724E-01
    1.00000E-02     7.94328E-04     4.99974E+01    -3.30742E-01
    1.00000E-02     1.00000E-03     4.99958E+01    -4.16364E-01
    1.00000E-02     1.25893E-03     4.99934E+01    -5.24140E-01
    1.00000E-02     1.58489E-03     4.99895E+01    -6.59792E-01
    1.00000E-02     1.99526E-03     4.99834E+01    -8.30505E-01
    1.00000E-02     2.51189E-03     4.99737E+01    -1.04530E+00
    1.00000E-02     3.16228E-03     4.99584E+01    -1.31546E+00
    1.00000E-02     3.98107E-03     4.99341E+01    -1.65509E+00
    1.00000E-02     5.01187E-03     4.98956E+01    -2.08168E+00
    1.00000E-02     6.30957E-03     4.98348E+01    -2.61679E+00
    1.00000E-02     7.94328E-03     4.97388E+01    -3.28663E+00
    1.00000E-02     1.00000E-02     4.95876E+01    -4.12231E+00
    1.00000E-02     1.25893E-02     4.93502E+01    -5.15942E+00
    1.00000E-02     1.58489E-02     4.89797E+01    -6.43588E+00
    1.00000E-02     1.99526E-02     4.84063E+01    -7.98648E+00
    1.00000E-02     2.51189E-02     4.75309E+01    -9.83178E+00
    1.00000E-02     3.16228E-02     4.62211E+01    -1.19582E+01
    1.00000E-02     3.98107E-02     4.43199E+01    -1.42885E+01
    1.00000E-02     5.01187E-02     4.16781E+01    -1.66485E+01
    1.00000E-02     6.30957E-02     3.82214E+01    -1.87532E+01
    1.00000E-02     7.94328E-02     3.40367E+01    -2.02492E+01
    1.00000E-02     1.00000E-01     2.94210E+01    -2.08328E+01
    1.00000E-02     1.25893E-01     2.48213E+01    -2.03956E+01
    1.00000E-02     1.58489E-01     2.06714E+01    -1.90852E+01
    1.00000E-02     1.99526E-01     1.72370E+01    -1.72280E+01
    1.00000E-02     2.51189E-01     1.45701E+01    -1.51804E+01
    1.00000E-02     3.16228E-01     1.25667E+01    -1.32154E+01
    1.00000E-02     3.98107E-01     1.10546E+01    -1.14858E+01
    1.00000E-02     5.01187E-01     9.86230E+00    -1.00384E+01
    1.00000E-02     6.30957E-01     8.85598E+00    -8.84851E+00
    1.00000E-02     7.94328E-01     7.95459E+00    -7.85615E+00
