      Frequency        Position         Real(c)         Imag(c)
             Hz              um           mol/L           mol/L
   1.99526E+000    2.12500E-001    1.22789E-001   -1.13313E+000
   1.99526E+000    2.37500E-001    2.91503E-002   -1.05379E+000
   1.99526E+000    2.62500E-001   -5.13472E-002   -9.74091E-001
   1.99526E+000    2.87500E-001   -1.19697E-001   -8.95029E-001
   1.99526E+000    3.12500E-001   -1.76886E-001   -8.17460E-001
   1.99526E+000    3.37500E-001   -2.23881E-001   -7.42096E-001
   1.99526E+000    3.62500E-001   -2.61622E-001   -6.69525E-001
   1.99526E+000    3.87500E-001   -2.91013E-001   -6.00216E-001
   1.99526E+000    4.12500E-001   -3.12919E-001   -5.34536E-001
   1.99526E+000    4.37500E-001   -3.28160E-001   -4.72758E-001
   1.99526E+000    4.62500E-001   -3.37505E-001   -4.15072E-001
   1.99526E+000    4.87500E-001   -3.41674E-001   -3.61596E-001
   1.99526E+000    5.12500E-001   -3.41333E-001   -3.12380E-001
   1.99526E+000    5.37500E-001   -3.37098E-001   -2.67420E-001
   1.99526E+000    5.62500E-001   -3.29527E-001   -2.26665E-001
   1.99526E+000    5.87500E-001   -3.19130E-001   -1.90019E-001
   1.99526E+000    6.12500E-001   -3.06363E-001   -1.57352E-001
   1.99526E+000    6.37500E-001   -2.91634E-001   -1.28506E-001
   1.99526E+000    6.62500E-001   -2.75302E-001   -1.03297E-001
   1.99526E+000    6.87500E-001   -2.57682E-001   -8.15203E-002
   1.99526E+000    7.12500E-001   -2.39046E-001   -6.29575E-002
   1.99526E+000    7.37500E-001   -2.19625E-001   -4.73757E-002
   1.99526E+000    7.62500E-001   -1.99612E-001   -3.45327E-002
   1.99526E+000    7.87500E-001   -1.79169E-001   -2.41789E-002
   1.99526E+000    8.12500E-001   -1.58425E-001   -1.60594E-002
   1.99526E+000    8.37500E-001   -1.37480E-001   -9.91558E-003
   1.99526E+000    8.62500E-001   -1.16412E-001   -5.48617E-003
   1.99526E+000    8.87500E-001   -9.52753E-002   -2.50847E-003
   1.99526E+000    9.12500E-001   -7.41073E-002   -7.18885E-004
   1.99526E+000    9.37500E-001   -5.29303E-002    1.46553E-004
   1.99526E+000    9.62500E-001   -3.17551E-002    3.51930E-004
   1.99526E+000    9.87500E-001   -1.05844E-002    1.61307E-004
   1.99526E+000    1.00000E+000    0.00000E+000    0.00000E+000
   2.51189E+000    0.00000E+000    1.41367E+000   -1.40478E+000
   2.51189E+000    1.25000E-002    1.28867E+000   -1.40478E+000
   2.51189E+000    3.75000E-002    1.06073E+000   -1.38455E+000
   2.51189E+000    6.25000E-002    8.54520E-001   -1.34767E+000
   2.51189E+000    8.75000E-002    6.69468E-001   -1.29737E+000
   2.51189E+000    1.12500E-001    5.04783E-001   -1.23656E+000
   2.51189E+000    1.37500E-001    3.59512E-001   -1.16782E+000
   2.51189E+000    1.62500E-001    2.32575E-001   -1.09345E+000
   2.51189E+000    1.87500E-001    1.22804E-001   -1.01542E+000
   2.51189E+000    2.12500E-001    2.89745E-002   -9.35459E-001
   2.51189E+000    2.37500E-001   -5.01691E-002   -8.55046E-001
   2.51189E+000    2.62500E-001   -1.15889E-001   -7.75421E-001
   2.51189E+000    2.87500E-001   -1.69435E-001   -6.97616E-001
   2.51189E+000    3.12500E-001   -2.12030E-001   -6.22471E-001
   2.51189E+000    3.37500E-001   -2.44851E-001   -5.50654E-001
   2.51189E+000    3.62500E-001   -2.69029E-001   -4.82681E-001
   2.51189E+000    3.87500E-001   -2.85628E-001   -4.18932E-001
   2.51189E+000    4.12500E-001   -2.95650E-001   -3.59667E-001
   2.51189E+000    4.37500E-001   -3.00026E-001   -3.05044E-001
   2.51189E+000    4.62500E-001   -2.99613E-001   -2.55130E-001
   2.51189E+000    4.87500E-001   -2.95194E-001   -2.09921E-001
   2.51189E+000    5.12500E-001   -2.87480E-001   -1.69346E-001
   2.51189E+000    5.37500E-001   -2.77107E-001   -1.33284E-001
   2.51189E+000    5.62500E-001   -2.64642E-001   -1.01572E-001
   2.51189E+000    5.87500E-001   -2.50583E-001   -7.40152E-002
   2.51189E+000    6.12500E-001   -2.35361E-001   -5.03923E-002
   2.51189E+000    6.37500E-001   -2.19348E-001   -3.04644E-002
   2.51189E+000    6.62500E-001   -2.02857E-001   -1.39800E-002
   2.51189E+000    6.87500E-001   -1.86146E-001   -6.80401E-004
   2.51189E+000    7.12500E-001   -1.69425E-001    9.69686E-003
   2.51189E+000    7.37500E-001   -1.52856E-001    1.74143E-002
   2.51189E+000    7.62500E-001   -1.36560E-001    2.27320E-002
   2.51189E+000    7.87500E-001   -1.20621E-001    2.59058E-002
   2.51189E+000    8.12500E-001   -1.05089E-001    2.71859E-002
   2.51189E+000    8.37500E-001   -8.99836E-002    2.68162E-002
   2.51189E+000    8.62500E-001   -7.52992E-002    2.50338E-002
   2.51189E+000    8.87500E-001   -6.10079E-002    2.20693E-002
   2.51189E+000    9.12500E-001   -4.70631E-002    1.81470E-002
   2.51189E+000    9.37500E-001   -3.34031E-002    1.34859E-002
   2.51189E+000    9.62500E-001   -1.99549E-002    8.30034E-003
   2.51189E+000    9.87500E-001   -6.63697E-003    2.80151E-003
   2.51189E+000    1.00000E+000    0.00000E+000    0.00000E+000
   3.16228E+000    0.00000E+000    1.26150E+000   -1.25353E+000
   3.16228E+000    1.25000E-002    1.13650E+000   -1.25353E+000
   3.16228E+000    3.75000E-002    9.11273E-001   -1.23107E+000
   3.16228E+000    6.25000E-002    7.10379E-001   -1.19060E+000
   3.16228E+000    8.75000E-002    5.33017E-001   -1.13609E+000
   3.16228E+000    1.12500E-001    3.78108E-001   -1.07104E+000
   3.16228E+000    1.37500E-001    2.44368E-001   -9.98519E-001
   3.16228E+000    1.62500E-001    1.30363E-001   -9.21169E-001
   3.16228E+000    1.87500E-001    3.45635E-002   -8.41242E-001
   3.16228E+000    2.12500E-001   -4.46091E-002   -7.60632E-001
   3.16228E+000    2.37500E-001   -1.08748E-001   -6.80904E-001
   3.16228E+000    2.62500E-001   -1.59430E-001   -6.03325E-001
