      Frequency        Position         Real(c)         Imag(c)
             Hz              um           mol/L           mol/L
   1.99526E+000    1.62500E-001    3.67433E-001   -1.29457E+000
   1.99526E+000    1.87500E-001    2.45487E-001   -1.21857E+000
   1.99526E+000    2.12500E-001    1.38737E-001   -1.13951E+000
   1.99526E+000    2.37500E-001    4.61968E-002   -1.05873E+000
   1.99526E+000    2.62500E-001   -3.31405E-002   -9.77362E-001
   1.99526E+000    2.87500E-001   -1.00290E-001   -8.96410E-001
   1.99526E+000    3.12500E-001   -1.56260E-001   -8.16710E-001
   1.99526E+000    3.37500E-001   -2.02046E-001   -7.38958E-001
   1.99526E+000    3.62500E-001   -2.38617E-001   -6.63725E-001
   1.99526E+000    3.87500E-001   -2.66911E-001   -5.91469E-001
   1.99526E+000    4.12500E-001   -2.87829E-001   -5.22540E-001
   1.99526E+000    4.37500E-001   -3.02231E-001   -4.57202E-001
   1.99526E+000    4.62500E-001   -3.10931E-001   -3.95632E-001
   1.99526E+000    4.87500E-001   -3.14698E-001   -3.37939E-001
   1.99526E+000    5.12500E-001   -3.14250E-001   -2.84171E-001
   1.99526E+000    5.37500E-001   -3.10259E-001   -2.34322E-001
   1.99526E+000    5.62500E-001   -3.03346E-001   -1.88341E-001
   1.99526E+000    5.87500E-001   -2.94083E-001   -1.46144E-001
   1.99526E+000    6.12500E-001   -2.82999E-001   -1.07614E-001
   1.99526E+000    6.37500E-001   -2.70572E-001   -7.26128E-002
   1.99526E+000    6.62500E-001   -2.57240E-001   -4.09860E-002
   1.99526E+000    6.87500E-001   -2.43397E-001   -1.25671E-002
   1.99526E+000    7.12500E-001   -2.29397E-001    1.28166E-002
   1.99526E+000    7.37500E-001   -2.15557E-001    3.53397E-002
   1.99526E+000    7.62500E-001   -2.02158E-001    5.51746E-002
   1.99526E+000    7.87500E-001   -1.89446E-001    7.24886E-002
   1.99526E+000    8.12500E-001   -1.77639E-001    8.74401E-002
   1.99526E+000    8.37500E-001   -1.66922E-001    1.00176E-001
   1.99526E+000    8.62500E-001   -1.57454E-001    1.10831E-001
   1.99526E+000    8.87500E-001   -1.49369E-001    1.19522E-001
   1.99526E+000    9.12500E-001   -1.42774E-001    1.26351E-001
   1.99526E+000    9.37500E-001   -1.37754E-001    1.31399E-001
   1.99526E+000    9.62500E-001   -1.34373E-001    1.34729E-001
   1.99526E+000    9.87500E-001   -1.32673E-001    1.36383E-001
   1.99526E+000    1.00000E+000   -1.32673E-001    1.36383E-001
   2.51189E+000    0.00000E+000    1.41359E+000   -1.41142E+000
   2.51189E+000    1.25000E-002    1.28859E+000   -1.41142E+000
   2.51189E+000    3.75000E-002    1.06075E+000   -1.39119E+000
   2.51189E+000    6.25000E-002    8.54748E-001   -1.35430E+000
   2.51189E+000    8.75000E-002    6.70009E-001   -1.30400E+000
   2.51189E+000    1.12500E-001    5.05741E-001   -1.24318E+000
   2.51189E+000    1.37500E-001    3.60990E-001   -1.17442E+000
   2.51189E+000    1.62500E-001    2.34677E-001   -1.09999E+000
   2.51189E+000    1.87500E-001    1.25634E-001   -1.02188E+000
   2.51189E+000    2.12500E-001    3.26325E-002   -9.41797E-001
   2.51189E+000    2.37500E-001   -4.55830E-002   -8.61201E-001
   2.51189E+000    2.62500E-001   -1.10278E-001   -7.81320E-001
   2.51189E+000    2.87500E-001   -1.62707E-001   -7.03170E-001
   2.51189E+000    3.12500E-001   -2.04097E-001   -6.27575E-001
   2.51189E+000    3.37500E-001   -2.35635E-001   -5.55184E-001
   2.51189E+000    3.62500E-001   -2.58456E-001   -4.86492E-001
   2.51189E+000    3.87500E-001   -2.73640E-001   -4.21858E-001
   2.51189E+000    4.12500E-001   -2.82201E-001   -3.61519E-001
   2.51189E+000    4.37500E-001   -2.85086E-001   -3.05611E-001
   2.51189E+000    4.62500E-001   -2.83173E-001   -2.54179E-001
   2.51189E+000    4.87500E-001   -2.77270E-001   -2.07193E-001
   2.51189E+000    5.12500E-001   -2.68115E-001   -1.64559E-001
   2.51189E+000    5.37500E-001   -2.56375E-001   -1.26134E-001
   2.51189E+000    5.62500E-001   -2.42656E-001   -9.17348E-002
   2.51189E+000    5.87500E-001   -2.27496E-001   -6.11448E-002
   2.51189E+000    6.12500E-001   -2.11377E-001   -3.41263E-002
   2.51189E+000    6.37500E-001   -1.94722E-001   -1.04262E-002
   2.51189E+000    6.62500E-001   -1.77903E-001    1.02168E-002
   2.51189E+000    6.87500E-001   -1.61244E-001    2.80669E-002
   2.51189E+000    7.12500E-001   -1.45026E-001    4.33856E-002
   2.51189E+000    7.37500E-001   -1.29489E-001    5.64275E-002
   2.51189E+000    7.62500E-001   -1.14838E-001    6.74365E-002
   2.51189E+000    7.87500E-001   -1.01246E-001    7.66426E-002
   2.51189E+000    8.12500E-001   -8.88570E-002    8.42592E-002
   2.51189E+000    8.37500E-001   -7.77908E-002    9.04808E-002
   2.51189E+000    8.62500E-001   -6.81451E-002    9.54812E-002
   2.51189E+000    8.87500E-001   -5.99983E-002    9.94117E-002
   2.51189E+000    9.12500E-001   -5.34123E-002    1.02400E-001
   2.51189E+000    9.37500E-001   -4.84338E-002    1.04550E-001
   2.51189E+000    9.62500E-001   -4.50968E-002    1.05940E-001
   2.51189E+000    9.87500E-001   -4.34229E-002    1.06622E-001
   2.51189E+000    1.00000E+000   -4.34229E-002    1.06622E-001
   3.16228E+000    0.00000E+000    1.25959E+000   -1.25513E+000
   3.16228E+000    1.25000E-002    1.13459E+000   -1.25513E+000
   3.16228E+000    3.75000E-002    9.09396E-001   -1.23270E+000
   3.16228E+000    6.25000E-002    7.08566E-001   -1.19230E+000
   3.16228E+000    8.75000E-002    5.31301E-001   -1.13790E+000
   3.16228E+000    1.12500E-001    3.76526E-001   -1.07300E+000
   3.16228E+000    1.37500E-001    2.42958E-001   -1.00066E+000
   3.16228E+000    1.62500E-001    1.29167E-001   -9.23509E-001
   3.16228E+000    1.87500E-001    3.36285E-002   -8.43809E-001
   3.16228E+000    2.12500E-001   -4.52328E-002   -7.63445E-001
   3.16228E+000    2.37500E-001   -1.09005E-001   -6.83975E-001
   3.16228E+000    2.62500E-001   -1.59259E-001   -6.06660E-001
   3.16228E+000    2.87500E-001   -1.97523E-001   -5.32492E-001
   3.16228E+000    3.12500E-001   -2.25263E-001   -4.62228E-001
   3.16228E+000    3.37500E-001   -2.43867E-001   -3.96416E-001
   3.16228E+000    3.62500E-001   -2.54636E-001   -3.35424E-001
   3.16228E+000    3.87500E-001   -2.58776E-001   -2.79464E-001
   3.16228E+000    4.12500E-001   -2.57393E-001   -2.28619E-001
   3.16228E+000    4.37500E-001   -2.51490E-001   -1.82862E-001
   3.16228E+000    4.62500E-001   -2.41974E-001   -1.42074E-001
   3.16228E+000    4.87500E-001   -2.29650E-001   -1.06070E-001
   3.16228E+000    5.12500E-001   -2.15230E-001   -7.46038E-002
   3.16228E+000    5.37500E-001   -1.99335E-001   -4.73917E-002
   3.16228E+000    5.62500E-001   -1.82503E-001   -2.41194E-002
   3.16228E+000    5.87500E-001   -1.65194E-001   -4.45405E-003
   3.16228E+000    6.12500E-001   -1.47798E-001    1.19463E-002
   3.16228E+000    6.37500E-001   -1.30638E-001    2.54256E-002
   3.16228E+000    6.62500E-001   -1.13980E-001    3.63229E-002
   3.16228E+000    6.87500E-001   -9.80400E-002    4.49675E-002
   3.16228E+000    7.12500E-001   -8.29889E-002    5.16744E-002
   3.16228E+000    7.37500E-001   -6.89590E-002    5.67411E-002
   3.16228E+000    7.62500E-001   -5.60506E-002    6.04449E-002
   3.16228E+000    7.87500E-001   -4.43369E-002    6.30409E-002
   3.16228E+000    8.12500E-001   -3.38691E-002    6.47606E-002
   3.16228E+000    8.37500E-001   -2.46812E-002    6.58109E-002
   3.16228E+000    8.62500E-001   -1.67940E-002    6.63733E-002
   3.16228E+000    8.87500E-001   -1.02187E-002    6.66039E-002
   3.16228E+000    9.12500E-001   -4.95972E-003    6.66325E-002
   3.16228E+000    9.37500E-001   -1.01770E-003    6.65631E-002
   3.16228E+000    9.62500E-001    1.60876E-003    6.64736E-002
   3.16228E+000    9.87500E-001    2.92142E-003    6.64158E-002
   3.16228E+000    1.00000E+000    2.92142E-003    6.64158E-002
   3.98107E+000    0.00000E+000    1.12378E+000   -1.11710E+000
   3.98107E+000    1.25000E-002    9.98776E-001   -1.11710E+000
   3.98107E+000    3.75000E-002    7.76572E-001   -1.09225E+000
   3.98107E+000    6.25000E-002    5.81544E-001   -1.04807E+000
   3.98107E+000    8.75000E-002    4.12594E-001   -9.89428E-001
   3.98107E+000    1.12500E-001    2.68262E-001   -9.20518E-001
   3.98107E+000    1.37500E-001    1.46835E-001   -8.44934E-001
   3.98107E+000    1.62500E-001    4.64312E-002   -7.65696E-001
   3.98107E+000    1.87500E-001   -3.49209E-002   -6.85303E-001
   3.98107E+000    2.12500E-001   -9.92215E-002   -6.05779E-001
   3.98107E+000    2.37500E-001   -1.48449E-001   -5.28723E-001
   3.98107E+000    2.62500E-001   -1.84522E-001   -4.55362E-001
   3.98107E+000    2.87500E-001   -2.09264E-001   -3.86591E-001
   3.98107E+000    3.12500E-001   -2.24387E-001   -3.23027E-001
   3.98107E+000    3.37500E-001   -2.31472E-001   -2.65047E-001
   3.98107E+000    3.62500E-001   -2.31963E-001   -2.12826E-001
   3.98107E+000    3.87500E-001   -2.27158E-001   -1.66376E-001
   3.98107E+000    4.12500E-001   -2.18214E-001   -1.25578E-001
   3.98107E+000    4.37500E-001   -2.06145E-001   -9.02105E-002
   3.98107E+000    4.62500E-001   -1.91831E-001   -5.99718E-002
   3.98107E+000    4.87500E-001   -1.76025E-001   -3.45062E-002
   3.98107E+000    5.12500E-001   -1.59361E-001   -1.34204E-002
   3.98107E+000    5.37500E-001   -1.42363E-001    3.70029E-003
   3.98107E+000    5.62500E-001   -1.25456E-001    1.72787E-002
   3.98107E+000    5.87500E-001   -1.08980E-001    2.77356E-002
   3.98107E+000    6.12500E-001   -9.31939E-002    3.54808E-002
   3.98107E+000    6.37500E-001   -7.82906E-002    4.09072E-002
   3.98107E+000    6.62500E-001   -6.44050E-002    4.43856E-002
   3.98107E+000    6.87500E-001   -5.16239E-002    4.62616E-002
   3.98107E+000    7.12500E-001   -3.99938E-002    4.68530E-002
   3.98107E+000    7.37500E-001   -2.95295E-002    4.64493E-002
   3.98107E+000    7.62500E-001   -2.02209E-002    4.53109E-002
   3.98107E+000    7.87500E-001   -1.20397E-002    4.36693E-002
   3.98107E+000    8.12500E-001   -4.94515E-003    4.17282E-002
   3.98107E+000    8.37500E-001    1.11117E-003    3.96640E-002
   3.98107E+000    8.62500E-001    6.18058E-003    3.76275E-002
   3.98107E+000    8.87500E-001    1.03138E-002    3.57447E-002
   3.98107E+000    9.12500E-001    1.35576E-002    3.41186E-002
   3.98107E+000    9.37500E-001    1.59524E-002    3.28298E-002
   3.98107E+000    9.62500E-001    1.75304E-002    3.19379E-002
   3.98107E+000    9.87500E-001    1.83138E-002    3.14823E-002
   3.98107E+000    1.00000E+000    1.83138E-002    3.14823E-002
   5.01187E+000    0.00000E+000    1.00271E+000   -9.94789E-001
   5.01187E+000    1.25000E-002    8.77707E-001   -9.94789E-001
   5.01187E+000    3.75000E-002    6.58868E-001   -9.67296E-001
   5.01187E+000    6.25000E-002    4.70328E-001   -9.19164E-001
   5.01187E+000    8.75000E-002    3.10581E-001   -8.56299E-001
   5.01187E+000    1.12500E-001    1.77657E-001   -7.83706E-001
   5.01187E+000    1.37500E-001    6.92817E-002   -7.05548E-001
   5.01187E+000    1.62500E-001   -1.69929E-002   -6.25219E-001
   5.01187E+000    1.87500E-001   -8.36830E-002   -5.45423E-001
   5.01187E+000    2.12500E-001   -1.33288E-001   -4.68248E-001
   5.01187E+000    2.37500E-001   -1.68226E-001   -3.95248E-001
   5.01187E+000    2.62500E-001   -1.90783E-001   -3.27518E-001
   5.01187E+000    2.87500E-001   -2.03080E-001   -2.65764E-001
   5.01187E+000    3.12500E-001   -2.07053E-001   -2.10371E-001
   5.01187E+000    3.37500E-001   -2.04436E-001   -1.61464E-001
   5.01187E+000    3.62500E-001   -1.96761E-001   -1.18961E-001
   5.01187E+000    3.87500E-001   -1.85360E-001   -8.26212E-002
   5.01187E+000    4.12500E-001   -1.71371E-001   -5.20876E-002
   5.01187E+000    4.37500E-001   -1.55750E-001   -2.69220E-002
   5.01187E+000    4.62500E-001   -1.39286E-001   -6.63520E-003
   5.01187E+000    4.87500E-001   -1.22614E-001    9.28859E-003
   5.01187E+000    5.12500E-001   -1.06233E-001    2.13716E-002
   5.01187E+000    5.37500E-001   -9.05215E-002    3.01269E-002
   5.01187E+000    5.62500E-001   -7.57537E-002    3.60468E-002
   5.01187E+000    5.87500E-001   -6.21151E-002    3.95937E-002
   5.01187E+000    6.12500E-001   -4.97166E-002    4.11949E-002
   5.01187E+000    6.37500E-001   -3.86086E-002    4.12387E-002
   5.01187E+000    6.62500E-001   -2.87923E-002    4.00732E-002
   5.01187E+000    6.87500E-001   -2.02313E-002    3.80058E-002
   5.01187E+000    7.12500E-001   -1.28608E-002    3.53047E-002
   5.01187E+000    7.37500E-001   -6.59623E-003    3.22007E-002
   5.01187E+000    7.62500E-001   -1.34029E-003    2.88900E-002
   5.01187E+000    7.87500E-001    3.01070E-003    2.55374E-002
   5.01187E+000    8.12500E-001    6.56175E-003    2.22791E-002
   5.01187E+000    8.37500E-001    9.41492E-003    1.92264E-002
   5.01187E+000    8.62500E-001    1.16658E-002    1.64686E-002
   5.01187E+000    8.87500E-001    1.34009E-002    1.40761E-002
   5.01187E+000    9.12500E-001    1.46950E-002    1.21035E-002
   5.01187E+000    9.37500E-001    1.56100E-002    1.05912E-002
   5.01187E+000    9.62500E-001    1.61933E-002    9.56779E-003
   5.01187E+000    9.87500E-001    1.64768E-002    9.05167E-003
   5.01187E+000    1.00000E+000    1.64768E-002    9.05167E-003
   6.30957E+000    0.00000E+000    8.94621E-001   -8.85800E-001
   6.30957E+000    1.25000E-002    7.69621E-001   -8.85800E-001
   6.30957E+000    3.75000E-002    5.54552E-001   -8.55450E-001
   6.30957E+000    6.25000E-002    3.73218E-001   -8.03231E-001
   6.30957E+000    8.75000E-002    2.23560E-001   -7.36295E-001
   6.30957E+000    1.12500E-001    1.02936E-001   -6.60543E-001
   6.30957E+000    1.37500E-001    8.36161E-003   -5.80731E-001
   6.30957E+000    1.62500E-001   -6.33121E-002   -5.00590E-001
   6.30957E+000    1.87500E-001   -1.15245E-001   -4.22945E-001
   6.30957E+000    2.12500E-001   -1.50499E-001   -3.49845E-001
   6.30957E+000    2.37500E-001   -1.71958E-001   -2.82680E-001
   6.30957E+000    2.62500E-001   -1.82268E-001   -2.22296E-001
   6.30957E+000    2.87500E-001   -1.83813E-001   -1.69099E-001
   6.30957E+000    3.12500E-001   -1.78689E-001   -1.23152E-001
   6.30957E+000    3.37500E-001   -1.68709E-001   -8.42507E-002
   6.30957E+000    3.62500E-001   -1.55406E-001   -5.20027E-002
   6.30957E+000    3.87500E-001   -1.40053E-001   -2.58831E-002
