 Iter      Position             C_O2             C_OH             C_Na             C_Cl              Phi            C_H2O
    #            η            mol/L            mol/L            mol/L            mol/L            Volts            mol/L
    0       3.00000   1.00000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999000E+01
    0       3.06000   1.02000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998980E+01
    0       3.12000   1.04000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998960E+01
    0       3.18000   1.06000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998940E+01
    0       3.24000   1.08000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998920E+01
    0       3.30000   1.10000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998900E+01
    0       3.36000   1.12000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998880E+01
    0       3.42000   1.14000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998860E+01
    0       3.48000   1.16000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998840E+01
    0       3.54000   1.18000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998820E+01
    0       3.60000   1.20000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998800E+01
    0       3.66000   1.22000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998780E+01
    0       3.72000   1.24000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998760E+01
    0       3.78000   1.26000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998740E+01
    0       3.84000   1.28000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998720E+01
    0       3.90000   1.30000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998700E+01
    0       3.96000   1.32000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998680E+01
    0       4.02000   1.34000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998660E+01
    0       4.08000   1.36000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998640E+01
    0       4.14000   1.38000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998620E+01
    0       4.20000   1.40000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998600E+01
    0       4.26000   1.42000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998580E+01
    0       4.32000   1.44000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998560E+01
    0       4.38000   1.46000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998540E+01
    0       4.44000   1.48000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998520E+01
    0       4.50000   1.50000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998500E+01
    0       4.56000   1.52000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998480E+01
    0       4.62000   1.54000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998460E+01
    0       4.68000   1.56000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998440E+01
    0       4.74000   1.58000000E-04   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34998420E+01
