        Time         Position             C_O2             C_OH             C_Na             C_Cl              Phi         Velocity               Xi             Zeta
       hours               cm          mol/cm3          mol/cm3          mol/cm3          mol/cm3            Volts             cm/s                                  
     0.00000   4.40220000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.74632709E-02   1.40079550E+00   3.18543744E-01
     0.00000   4.52980000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.96665298E-02   1.44139827E+00   3.27776896E-01
     0.00000   4.65740000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -4.19327390E-02   1.48200103E+00   3.37010048E-01
     0.00000   4.78500000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -4.42618985E-02   1.52260380E+00   3.46243200E-01
     0.00000   4.91260000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -4.66540082E-02   1.56320657E+00   3.55476352E-01
     0.00000   5.04020000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -4.91090682E-02   1.60380934E+00   3.64709504E-01
     0.00000   5.16780000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -5.16270784E-02   1.64441211E+00   3.73942656E-01
     0.00000   5.29540000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -5.42080389E-02   1.68501487E+00   3.83175808E-01
     0.00000   5.42300000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -5.68519496E-02   1.72561764E+00   3.92408960E-01
     0.00000   5.55060000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -5.95588106E-02   1.76622041E+00   4.01642112E-01
