State         Time     Position         c_LiPF6            Φ_2
  CDR        hours           um          mol/mL               V
  D        0.00111      0.97500    9.99537E-004    1.29293E-003
  D        0.00111      1.00000    9.49209E-004    0.00000E+000
  D        0.00139      0.00000    1.05260E-003    3.20474E-002
  D        0.00139      0.02500    1.00058E-003    3.07782E-002
  D        0.00139      0.07500    1.00000E-003    2.92214E-002
  D        0.00139      0.12500    1.00000E-003    2.76702E-002
  D        0.00139      0.17500    1.00000E-003    2.61189E-002
  D        0.00139      0.22500    1.00000E-003    2.45677E-002
  D        0.00139      0.27500    1.00000E-003    2.30164E-002
  D        0.00139      0.32500    1.00000E-003    2.14652E-002
  D        0.00139      0.37500    1.00000E-003    1.99139E-002
  D        0.00139      0.42500    1.00000E-003    1.83627E-002
  D        0.00139      0.47500    1.00000E-003    1.68114E-002
  D        0.00139      0.52500    1.00000E-003    1.52602E-002
  D        0.00139      0.57500    1.00000E-003    1.37089E-002
  D        0.00139      0.62500    1.00000E-003    1.21577E-002
  D        0.00139      0.67500    1.00000E-003    1.06064E-002
  D        0.00139      0.72500    1.00000E-003    9.05517E-003
  D        0.00139      0.77500    1.00000E-003    7.50392E-003
  D        0.00139      0.82500    1.00000E-003    5.95268E-003
  D        0.00139      0.87500    1.00000E-003    4.40143E-003
  D        0.00139      0.92500    9.99998E-004    2.85016E-003
  D        0.00139      0.97500    9.99422E-004    1.29299E-003
  D        0.00139      1.00000    9.49097E-004    0.00000E+000
  D        0.00167      0.00000    1.05272E-003    3.20497E-002
  D        0.00167      0.02500    1.00069E-003    3.07806E-002
  D        0.00167      0.07500    1.00000E-003    2.92227E-002
  D        0.00167      0.12500    1.00000E-003    2.76714E-002
  D        0.00167      0.17500    1.00000E-003    2.61201E-002
  D        0.00167      0.22500    1.00000E-003    2.45689E-002
  D        0.00167      0.27500    1.00000E-003    2.30176E-002
  D        0.00167      0.32500    1.00000E-003    2.14664E-002
  D        0.00167      0.37500    1.00000E-003    1.99152E-002
  D        0.00167      0.42500    1.00000E-003    1.83639E-002
  D        0.00167      0.47500    1.00000E-003    1.68127E-002
  D        0.00167      0.52500    1.00000E-003    1.52614E-002
  D        0.00167      0.57500    1.00000E-003    1.37102E-002
  D        0.00167      0.62500    1.00000E-003    1.21589E-002
  D        0.00167      0.67500    1.00000E-003    1.06077E-002
  D        0.00167      0.72500    1.00000E-003    9.05641E-003
  D        0.00167      0.77500    1.00000E-003    7.50516E-003
  D        0.00167      0.82500    1.00000E-003    5.95392E-003
  D        0.00167      0.87500    1.00000E-003    4.40267E-003
  D        0.00167      0.92500    9.99997E-004    2.85139E-003
  D        0.00167      0.97500    9.99306E-004    1.29304E-003
  D        0.00167      1.00000    9.48986E-004    0.00000E+000
  D        0.00194      0.00000    1.05284E-003    3.20520E-002
  D        0.00194      0.02500    1.00081E-003    3.07830E-002
  D        0.00194      0.07500    1.00000E-003    2.92239E-002
  D        0.00194      0.12500    1.00000E-003    2.76726E-002
  D        0.00194      0.17500    1.00000E-003    2.61214E-002
  D        0.00194      0.22500    1.00000E-003    2.45701E-002
  D        0.00194      0.27500    1.00000E-003    2.30189E-002
  D        0.00194      0.32500    1.00000E-003    2.14676E-002
  D        0.00194      0.37500    1.00000E-003    1.99164E-002
  D        0.00194      0.42500    1.00000E-003    1.83651E-002
  D        0.00194      0.47500    1.00000E-003    1.68139E-002
  D        0.00194      0.52500    1.00000E-003    1.52626E-002
  D        0.00194      0.57500    1.00000E-003    1.37114E-002
  D        0.00194      0.62500    1.00000E-003    1.21601E-002
  D        0.00194      0.67500    1.00000E-003    1.06089E-002
  D        0.00194      0.72500    1.00000E-003    9.05765E-003
  D        0.00194      0.77500    1.00000E-003    7.50640E-003
  D        0.00194      0.82500    1.00000E-003    5.95516E-003
  D        0.00194      0.87500    1.00000E-003    4.40391E-003
  D        0.00194      0.92500    9.99996E-004    2.85262E-003
  D        0.00194      0.97500    9.99191E-004    1.29310E-003
  D        0.00194      1.00000    9.48874E-004    0.00000E+000
  D        0.00222      0.00000    1.05296E-003    3.20543E-002
  D        0.00222      0.02500    1.00092E-003    3.07853E-002
  D        0.00222      0.07500    1.00000E-003    2.92252E-002
  D        0.00222      0.12500    1.00000E-003    2.76739E-002
  D        0.00222      0.17500    1.00000E-003    2.61226E-002
  D        0.00222      0.22500    1.00000E-003    2.45714E-002
  D        0.00222      0.27500    1.00000E-003    2.30201E-002
  D        0.00222      0.32500    1.00000E-003    2.14689E-002
  D        0.00222      0.37500    1.00000E-003    1.99176E-002
  D        0.00222      0.42500    1.00000E-003    1.83664E-002
  D        0.00222      0.47500    1.00000E-003    1.68151E-002
  D        0.00222      0.52500    1.00000E-003    1.52639E-002
  D        0.00222      0.57500    1.00000E-003    1.37126E-002
  D        0.00222      0.62500    1.00000E-003    1.21614E-002
  D        0.00222      0.67500    1.00000E-003    1.06101E-002
  D        0.00222      0.72500    1.00000E-003    9.05889E-003
  D        0.00222      0.77500    1.00000E-003    7.50764E-003
  D        0.00222      0.82500    1.00000E-003    5.95639E-003
  D        0.00222      0.87500    1.00000E-003    4.40515E-003
  D        0.00222      0.92500    9.99995E-004    2.85385E-003
  D        0.00222      0.97500    9.99076E-004    1.29316E-003
  D        0.00222      1.00000    9.48763E-004    0.00000E+000
  D        0.00250      0.00000    1.05308E-003    3.20566E-002
  D        0.00250      0.02500    1.00104E-003    3.07877E-002
  D        0.00250      0.07500    1.00001E-003    2.92264E-002
  D        0.00250      0.12500    1.00000E-003    2.76751E-002
  D        0.00250      0.17500    1.00000E-003    2.61239E-002
  D        0.00250      0.22500    1.00000E-003    2.45726E-002
  D        0.00250      0.27500    1.00000E-003    2.30214E-002
  D        0.00250      0.32500    1.00000E-003    2.14701E-002
  D        0.00250      0.37500    1.00000E-003    1.99189E-002
  D        0.00250      0.42500    1.00000E-003    1.83676E-002
  D        0.00250      0.47500    1.00000E-003    1.68164E-002
  D        0.00250      0.52500    1.00000E-003    1.52651E-002
  D        0.00250      0.57500    1.00000E-003    1.37139E-002
  D        0.00250      0.62500    1.00000E-003    1.21626E-002
  D        0.00250      0.67500    1.00000E-003    1.06114E-002
  D        0.00250      0.72500    1.00000E-003    9.06013E-003
  D        0.00250      0.77500    1.00000E-003    7.50888E-003
  D        0.00250      0.82500    1.00000E-003    5.95763E-003
  D        0.00250      0.87500    1.00000E-003    4.40638E-003
  D        0.00250      0.92500    9.99994E-004    2.85507E-003
  D        0.00250      0.97500    9.98961E-004    1.29321E-003
  D        0.00250      1.00000    9.48652E-004    0.00000E+000
  D        0.00278      0.00000    1.05320E-003    3.20589E-002
  D        0.00278      0.02500    1.00115E-003    3.07900E-002
  D        0.00278      0.07500    1.00001E-003    2.92277E-002
  D        0.00278      0.12500    1.00000E-003    2.76763E-002
  D        0.00278      0.17500    1.00000E-003    2.61251E-002
  D        0.00278      0.22500    1.00000E-003    2.45738E-002
  D        0.00278      0.27500    1.00000E-003    2.30226E-002
  D        0.00278      0.32500    1.00000E-003    2.14713E-002
  D        0.00278      0.37500    1.00000E-003    1.99201E-002
  D        0.00278      0.42500    1.00000E-003    1.83689E-002
  D        0.00278      0.47500    1.00000E-003    1.68176E-002
  D        0.00278      0.52500    1.00000E-003    1.52664E-002
  D        0.00278      0.57500    1.00000E-003    1.37151E-002
  D        0.00278      0.62500    1.00000E-003    1.21639E-002
  D        0.00278      0.67500    1.00000E-003    1.06126E-002
  D        0.00278      0.72500    1.00000E-003    9.06136E-003
  D        0.00278      0.77500    1.00000E-003    7.51011E-003
  D        0.00278      0.82500    1.00000E-003    5.95887E-003
