        Time         Position             C_O2             C_OH             C_Na             C_Cl              Phi         Velocity
       hours               cm          mol/cm3          mol/cm3          mol/cm3          mol/cm3            Volts             cm/s
     0.00000   1.74000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -9.08280000E+00
     0.00000   1.78000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -9.50520000E+00
     0.00000   1.82000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -9.93720000E+00
     0.00000   1.86000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.03788000E+01
     0.00000   1.90000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.08300000E+01
     0.00000   1.94000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.12908000E+01
     0.00000   1.98000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.17612000E+01
     0.00000   2.02000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.22412000E+01
     0.00000   2.06000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.27308000E+01
     0.00000   2.10000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.32300000E+01
     0.00000   2.14000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.37388000E+01
     0.00000   2.18000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.42572000E+01
     0.00000   2.22000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.47852000E+01
     0.00000   2.26000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.53228000E+01
     0.00000   2.30000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.58700000E+01
     0.00000   2.34000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.64268000E+01
     0.00000   2.38000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.69932000E+01
     0.00000   2.42000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.75692000E+01
     0.00000   2.46000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.81548000E+01
     0.00000   2.50000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.87500000E+01
     0.00000   2.54000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.93548000E+01
     0.00000   2.58000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.99692000E+01
     0.00000   2.62000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.05932000E+01
     0.00000   2.66000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.12268000E+01
     0.00000   2.70000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.18700000E+01
     0.00000   2.74000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.25228000E+01
     0.00000   2.78000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.31852000E+01
     0.00000   2.82000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.38572000E+01
     0.00000   2.86000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.45388000E+01
     0.00000   2.90000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.52300000E+01
     0.00000   2.94000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.59308000E+01
     0.00000   2.98000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.66412000E+01
     0.00000   3.02000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.73612000E+01
     0.00000   3.06000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.80908000E+01
     0.00000   3.10000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.88300000E+01
     0.00000   3.14000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.95788000E+01
     0.00000   3.18000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.03372000E+01
     0.00000   3.22000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.11052000E+01
     0.00000   3.26000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.18828000E+01
     0.00000   3.30000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.26700000E+01
     0.00000   3.34000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.34668000E+01
     0.00000   3.38000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.42732000E+01
     0.00000   3.42000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.50892000E+01
     0.00000   3.46000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.59148000E+01
     0.00000   3.50000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.67500000E+01
     0.00000   3.54000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.75948000E+01
     0.00000   3.58000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.84492000E+01
     0.00000   3.62000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.93132000E+01
     0.00000   3.66000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -4.01868000E+01
     0.00000   3.70000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -4.10700000E+01
     0.00000   3.74000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -4.19628000E+01
     0.00000   3.78000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -4.28652000E+01
     0.00000   3.82000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -4.37772000E+01
     0.00000   3.86000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -4.46988000E+01
     0.00000   3.90000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -4.56300000E+01
     0.00000   3.94000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -4.65708000E+01
     0.00000   3.98000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -4.75212000E+01
     0.00000   4.00000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -4.80000000E+01
     0.55556   0.00000000E+00   0.00000000E+00   4.18799372E-07   1.00018915E-03   9.99770347E-04  -4.25953522E-05  -0.00000000E+00
     0.55556   2.00000000E-02   4.43953709E-09   4.12048638E-07   1.00018577E-03   9.99773722E-04  -4.25086767E-05  -1.20000000E-03
     0.55556   6.00000000E-02   1.33186113E-08   3.98547124E-07   1.00017902E-03   9.99780471E-04  -4.23353252E-05  -1.08000000E-02
     0.55556   1.00000000E-01   2.21959806E-08   3.85046505E-07   1.00017227E-03   9.99787221E-04  -4.21619438E-05  -3.00000000E-02
     0.55556   1.40000000E-01   3.10665322E-08   3.71549739E-07   1.00016552E-03   9.99793969E-04  -4.19884466E-05  -5.88000000E-02
     0.55556   1.80000000E-01   3.99217554E-08   3.58061754E-07   1.00015878E-03   9.99800717E-04  -4.18146902E-05  -9.72000000E-02
     0.55556   2.20000000E-01   4.87497754E-08   3.44589438E-07   1.00015205E-03   9.99807462E-04  -4.16404745E-05  -1.45200000E-01
     0.55556   2.60000000E-01   5.75354209E-08   3.31141629E-07   1.00014534E-03   9.99814203E-04  -4.14655428E-05  -2.02800000E-01
     0.55556   3.00000000E-01   6.62603399E-08   3.17729084E-07   1.00013867E-03   9.99820938E-04  -4.12895826E-05  -2.70000000E-01
     0.55556   3.40000000E-01   7.49031749E-08   3.04364444E-07   1.00013203E-03   9.99827665E-04  -4.11122275E-05  -3.46800000E-01
     0.55556   3.80000000E-01   8.34398067E-08   2.91062176E-07   1.00012544E-03   9.99834382E-04  -4.09330586E-05  -4.33200000E-01
     0.55556   4.20000000E-01   9.18436768E-08   2.77838501E-07   1.00011892E-03   9.99841084E-04  -4.07516072E-05  -5.29200000E-01
     0.55556   4.60000000E-01   1.00086193E-07   2.64711301E-07   1.00011248E-03   9.99847769E-04  -4.05673581E-05  -6.34800000E-01
     0.55556   5.00000000E-01   1.08137218E-07   2.51700000E-07   1.00010613E-03   9.99854432E-04  -4.03797534E-05  -7.50000000E-01
     0.55556   5.40000000E-01   1.15965649E-07   2.38825424E-07   1.00009989E-03   9.99861067E-04  -4.01881976E-05  -8.74800000E-01
     0.55556   5.80000000E-01   1.23540063E-07   2.26109637E-07   1.00009378E-03   9.99867669E-04  -3.99920627E-05  -1.00920000E+00
     0.55556   6.20000000E-01   1.30829437E-07   2.13575746E-07   1.00008781E-03   9.99874230E-04  -3.97906947E-05  -1.15320000E+00
     0.55556   6.60000000E-01   1.37803909E-07   2.01247685E-07   1.00008199E-03   9.99880742E-04  -3.95834209E-05  -1.30680000E+00
     0.55556   7.00000000E-01   1.44435572E-07   1.89149975E-07   1.00007635E-03   9.99887196E-04  -3.93695569E-05  -1.47000000E+00
     0.55556   7.40000000E-01   1.50699258E-07   1.77307457E-07   1.00007089E-03   9.99893581E-04  -3.91484158E-05  -1.64280000E+00
     0.55556   7.80000000E-01   1.56573292E-07   1.65745006E-07   1.00006563E-03   9.99899885E-04  -3.89193158E-05  -1.82520000E+00
     0.55556   8.20000000E-01   1.62040185E-07   1.54487228E-07   1.00006058E-03   9.99906094E-04  -3.86815900E-05  -2.01720000E+00
     0.55556   8.60000000E-01   1.67087221E-07   1.43558147E-07   1.00005575E-03   9.99912196E-04  -3.84345949E-05  -2.21880000E+00
     0.55556   9.00000000E-01   1.71706914E-07   1.32980873E-07   1.00005115E-03   9.99918173E-04  -3.81777198E-05  -2.43000000E+00
     0.55556   9.40000000E-01   1.75897308E-07   1.22777284E-07   1.00004679E-03   9.99924011E-04  -3.79103950E-05  -2.65080000E+00
     0.55556   9.80000000E-01   1.79662093E-07   1.12967693E-07   1.00004266E-03   9.99929692E-04  -3.76321005E-05  -2.88120000E+00
     0.55556   1.02000000E+00   1.83010522E-07   1.03570541E-07   1.00003877E-03   9.99935201E-04  -3.73423733E-05  -3.12120000E+00
     0.55556   1.06000000E+00   1.85957140E-07   9.46020989E-08   1.00003512E-03   9.99940519E-04  -3.70408147E-05  -3.37080000E+00
     0.55556   1.10000000E+00   1.88521310E-07   8.60761936E-08   1.00003171E-03   9.99945632E-04  -3.67270956E-05  -3.63000000E+00
     0.55556   1.14000000E+00   1.90726578E-07   7.80039725E-08   1.00002853E-03   9.99950524E-04  -3.64009624E-05  -3.89880000E+00
     0.55556   1.18000000E+00   1.92599892E-07   7.03937006E-08   1.00002557E-03   9.99955181E-04  -3.60622397E-05  -4.17720000E+00
     0.55556   1.22000000E+00   1.94170718E-07   6.32506048E-08   1.00002284E-03   9.99959592E-04  -3.57108337E-05  -4.46520000E+00
     0.55556   1.26000000E+00   1.95470106E-07   5.65767683E-08   1.00002032E-03   9.99963747E-04  -3.53467331E-05  -4.76280000E+00
     0.55556   1.30000000E+00   1.96529740E-07   5.03710791E-08   1.00001801E-03   9.99967640E-04  -3.49700095E-05  -5.07000000E+00
     0.55556   1.34000000E+00   1.97381043E-07   4.46292352E-08   1.00001589E-03   9.99971265E-04  -3.45808159E-05  -5.38680000E+00
     0.55556   1.38000000E+00   1.98054348E-07   3.93438086E-08   1.00001396E-03   9.99974620E-04  -3.41793843E-05  -5.71320000E+00
     0.55556   1.42000000E+00   1.98578211E-07   3.45043676E-08   1.00001221E-03   9.99977707E-04  -3.37660220E-05  -6.04920000E+00
     0.55556   1.46000000E+00   1.98978862E-07   3.00976537E-08   1.00001063E-03   9.99980529E-04  -3.33411067E-05  -6.39480000E+00
     0.55556   1.50000000E+00   1.99279818E-07   2.61078120E-08   1.00000920E-03   9.99983093E-04  -3.29050803E-05  -6.75000000E+00
     0.55556   1.54000000E+00   1.99501669E-07   2.25166669E-08   1.00000792E-03   9.99985407E-04  -3.24584421E-05  -7.11480000E+00
     0.55556   1.58000000E+00   1.99662012E-07   1.93040377E-08   1.00000679E-03   9.99987482E-04  -3.20017406E-05  -7.48920000E+00
     0.55556   1.62000000E+00   1.99775529E-07   1.64480849E-08   1.00000578E-03   9.99989329E-04  -3.15355650E-05  -7.87320000E+00
     0.55556   1.66000000E+00   1.99854174E-07   1.39256786E-08   1.00000489E-03   9.99990962E-04  -3.10605358E-05  -8.26680000E+00
     0.55556   1.70000000E+00   1.99907436E-07   1.17127783E-08   1.00000411E-03   9.99992397E-04  -3.05772955E-05  -8.67000000E+00
     0.55556   1.74000000E+00   1.99942659E-07   9.78481421E-09   1.00000343E-03   9.99993647E-04  -3.00864991E-05  -9.08280000E+00
     0.55556   1.78000000E+00   1.99965378E-07   8.11706027E-09   1.00000285E-03   9.99994729E-04  -2.95888040E-05  -9.50520000E+00
     0.55556   1.82000000E+00   1.99979652E-07   6.68498859E-09   1.00000234E-03   9.99995659E-04  -2.90848620E-05  -9.93720000E+00
     0.55556   1.86000000E+00   1.99988376E-07   5.46459728E-09   1.00000192E-03   9.99996451E-04  -2.85753099E-05  -1.03788000E+01
     0.55556   1.90000000E+00   1.99993555E-07   4.43270405E-09   1.00000155E-03   9.99997121E-04  -2.80607627E-05  -1.08300000E+01
     0.55556   1.94000000E+00   1.99996538E-07   3.56719958E-09   1.00000125E-03   9.99997683E-04  -2.75418064E-05  -1.12908000E+01
     0.55556   1.98000000E+00   1.99998202E-07   2.84725666E-09   1.00000100E-03   9.99998151E-04  -2.70189932E-05  -1.17612000E+01
     0.55556   2.02000000E+00   1.99999098E-07   2.25349259E-09   1.00000079E-03   9.99998536E-04  -2.64928366E-05  -1.22412000E+01
     0.55556   2.06000000E+00   1.99999564E-07   1.76808418E-09   1.00000062E-03   9.99998852E-04  -2.59638091E-05  -1.27308000E+01
     0.55556   2.10000000E+00   1.99999798E-07   1.37483670E-09   1.00000048E-03   9.99999107E-04  -2.54323396E-05  -1.32300000E+01
     0.55556   2.14000000E+00   1.99999910E-07   1.05920914E-09   1.00000037E-03   9.99999312E-04  -2.48988136E-05  -1.37388000E+01
     0.55556   2.18000000E+00   1.99999962E-07   8.08300102E-10   1.00000028E-03   9.99999475E-04  -2.43635728E-05  -1.42572000E+01
     0.55556   2.22000000E+00   1.99999984E-07   6.10799167E-10   1.00000021E-03   9.99999603E-04  -2.38269170E-05  -1.47852000E+01
     0.55556   2.26000000E+00   1.99999994E-07   4.56909548E-10   1.00000016E-03   9.99999703E-04  -2.32891056E-05  -1.53228000E+01
     0.55556   2.30000000E+00   1.99999998E-07   3.38248200E-10   1.00000012E-03   9.99999780E-04  -2.27503609E-05  -1.58700000E+01
     0.55556   2.34000000E+00   1.99999999E-07   2.47729581E-10   1.00000009E-03   9.99999839E-04  -2.22108705E-05  -1.64268000E+01
     0.55556   2.38000000E+00   2.00000000E-07   1.79439063E-10   1.00000006E-03   9.99999883E-04  -2.16707912E-05  -1.69932000E+01
     0.55556   2.42000000E+00   2.00000000E-07   1.28501523E-10   1.00000005E-03   9.99999917E-04  -2.11302522E-05  -1.75692000E+01
     0.55556   2.46000000E+00   2.00000000E-07   9.09499961E-11   1.00000003E-03   9.99999941E-04  -2.05893585E-05  -1.81548000E+01
     0.55556   2.50000000E+00   2.00000000E-07   6.35984442E-11   1.00000002E-03   9.99999959E-04  -2.00481945E-05  -1.87500000E+01
     0.55556   2.54000000E+00   2.00000000E-07   4.39218898E-11   1.00000002E-03   9.99999971E-04  -1.95068272E-05  -1.93548000E+01
     0.55556   2.58000000E+00   2.00000000E-07   2.99462437E-11   1.00000001E-03   9.99999981E-04  -1.89653088E-05  -1.99692000E+01
     0.55556   2.62000000E+00   2.00000000E-07   2.01493507E-11   1.00000001E-03   9.99999987E-04  -1.84236797E-05  -2.05932000E+01
     0.55556   2.66000000E+00   2.00000000E-07   1.33740152E-11   1.00000000E-03   9.99999991E-04  -1.78819706E-05  -2.12268000E+01
     0.55556   2.70000000E+00   2.00000000E-07   8.75312438E-12   1.00000000E-03   9.99999994E-04  -1.73402044E-05  -2.18700000E+01
     0.55556   2.74000000E+00   2.00000000E-07   5.64646704E-12   1.00000000E-03   9.99999996E-04  -1.67983981E-05  -2.25228000E+01
