        Time         Position             x_Li            x_BMP          Flux_Li         Flux_BMP              Phi
       hours               ξ                                                                                     
     0.00000   0.00000000E+00   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.00000000E-03   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.00000000E-03   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.20000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.60000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.00000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.40000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.80000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.20000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.60000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.00000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.40000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.80000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.20000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.60000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   6.00000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   6.40000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   6.80000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   7.20000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   7.60000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.00000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.40000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.80000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   9.20000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   9.60000000E-02   2.50000000E-01   2.50000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
