State         Time     Position         c_LiPF6            Φ_2
  CDR        hours           um          mol/mL               V
  D        0.00111      0.97500    9.99484E-004    1.44206E-003
  D        0.00111      1.00000    9.43354E-004    0.00000E+000
  D        0.00139      0.00000    1.05963E-003    2.69101E-002
  D        0.00139      0.02500    1.00065E-003    2.54807E-002
  D        0.00139      0.07500    1.00000E-003    2.42079E-002
  D        0.00139      0.12500    1.00000E-003    2.29437E-002
  D        0.00139      0.17500    1.00000E-003    2.16794E-002
  D        0.00139      0.22500    1.00000E-003    2.04152E-002
  D        0.00139      0.27500    1.00000E-003    1.91509E-002
  D        0.00139      0.32500    1.00000E-003    1.78867E-002
  D        0.00139      0.37500    1.00000E-003    1.66224E-002
  D        0.00139      0.42500    1.00000E-003    1.53582E-002
  D        0.00139      0.47500    1.00000E-003    1.40939E-002
  D        0.00139      0.52500    1.00000E-003    1.28297E-002
  D        0.00139      0.57500    1.00000E-003    1.15654E-002
  D        0.00139      0.62500    1.00000E-003    1.03012E-002
  D        0.00139      0.67500    1.00000E-003    9.03691E-003
  D        0.00139      0.72500    1.00000E-003    7.77266E-003
  D        0.00139      0.77500    1.00000E-003    6.50840E-003
  D        0.00139      0.82500    1.00000E-003    5.24415E-003
  D        0.00139      0.87500    1.00000E-003    3.97990E-003
  D        0.00139      0.92500    9.99998E-004    2.71562E-003
  D        0.00139      0.97500    9.99355E-004    1.44209E-003
  D        0.00139      1.00000    9.43231E-004    0.00000E+000
  D        0.00167      0.00000    1.05977E-003    2.69137E-002
  D        0.00167      0.02500    1.00077E-003    2.54843E-002
  D        0.00167      0.07500    1.00000E-003    2.42098E-002
  D        0.00167      0.12500    1.00000E-003    2.29456E-002
  D        0.00167      0.17500    1.00000E-003    2.16813E-002
  D        0.00167      0.22500    1.00000E-003    2.04171E-002
  D        0.00167      0.27500    1.00000E-003    1.91528E-002
  D        0.00167      0.32500    1.00000E-003    1.78886E-002
  D        0.00167      0.37500    1.00000E-003    1.66243E-002
  D        0.00167      0.42500    1.00000E-003    1.53600E-002
  D        0.00167      0.47500    1.00000E-003    1.40958E-002
  D        0.00167      0.52500    1.00000E-003    1.28315E-002
  D        0.00167      0.57500    1.00000E-003    1.15673E-002
  D        0.00167      0.62500    1.00000E-003    1.03030E-002
  D        0.00167      0.67500    1.00000E-003    9.03879E-003
  D        0.00167      0.72500    1.00000E-003    7.77454E-003
  D        0.00167      0.77500    1.00000E-003    6.51029E-003
  D        0.00167      0.82500    1.00000E-003    5.24604E-003
  D        0.00167      0.87500    1.00000E-003    3.98179E-003
  D        0.00167      0.92500    9.99997E-004    2.71749E-003
  D        0.00167      0.97500    9.99226E-004    1.44213E-003
  D        0.00167      1.00000    9.43108E-004    0.00000E+000
  D        0.00194      0.00000    1.05990E-003    2.69173E-002
  D        0.00194      0.02500    1.00090E-003    2.54879E-002
  D        0.00194      0.07500    1.00000E-003    2.42117E-002
  D        0.00194      0.12500    1.00000E-003    2.29474E-002
  D        0.00194      0.17500    1.00000E-003    2.16832E-002
  D        0.00194      0.22500    1.00000E-003    2.04189E-002
  D        0.00194      0.27500    1.00000E-003    1.91547E-002
  D        0.00194      0.32500    1.00000E-003    1.78904E-002
  D        0.00194      0.37500    1.00000E-003    1.66262E-002
  D        0.00194      0.42500    1.00000E-003    1.53619E-002
  D        0.00194      0.47500    1.00000E-003    1.40977E-002
  D        0.00194      0.52500    1.00000E-003    1.28334E-002
  D        0.00194      0.57500    1.00000E-003    1.15692E-002
  D        0.00194      0.62500    1.00000E-003    1.03049E-002
  D        0.00194      0.67500    1.00000E-003    9.04068E-003
  D        0.00194      0.72500    1.00000E-003    7.77643E-003
  D        0.00194      0.77500    1.00000E-003    6.51218E-003
  D        0.00194      0.82500    1.00000E-003    5.24793E-003
  D        0.00194      0.87500    1.00000E-003    3.98368E-003
  D        0.00194      0.92500    9.99996E-004    2.71937E-003
  D        0.00194      0.97500    9.99098E-004    1.44216E-003
  D        0.00194      1.00000    9.42986E-004    0.00000E+000
  D        0.00222      0.00000    1.06004E-003    2.69208E-002
  D        0.00222      0.02500    1.00103E-003    2.54915E-002
  D        0.00222      0.07500    1.00001E-003    2.42136E-002
  D        0.00222      0.12500    1.00000E-003    2.29493E-002
  D        0.00222      0.17500    1.00000E-003    2.16851E-002
  D        0.00222      0.22500    1.00000E-003    2.04208E-002
  D        0.00222      0.27500    1.00000E-003    1.91566E-002
  D        0.00222      0.32500    1.00000E-003    1.78923E-002
  D        0.00222      0.37500    1.00000E-003    1.66281E-002
  D        0.00222      0.42500    1.00000E-003    1.53638E-002
  D        0.00222      0.47500    1.00000E-003    1.40996E-002
  D        0.00222      0.52500    1.00000E-003    1.28353E-002
  D        0.00222      0.57500    1.00000E-003    1.15711E-002
  D        0.00222      0.62500    1.00000E-003    1.03068E-002
  D        0.00222      0.67500    1.00000E-003    9.04256E-003
  D        0.00222      0.72500    1.00000E-003    7.77831E-003
  D        0.00222      0.77500    1.00000E-003    6.51406E-003
  D        0.00222      0.82500    1.00000E-003    5.24981E-003
  D        0.00222      0.87500    1.00000E-003    3.98556E-003
  D        0.00222      0.92500    9.99995E-004    2.72123E-003
  D        0.00222      0.97500    9.98969E-004    1.44219E-003
  D        0.00222      1.00000    9.42864E-004    0.00000E+000
  D        0.00250      0.00000    1.06017E-003    2.69244E-002
  D        0.00250      0.02500    1.00116E-003    2.54951E-002
  D        0.00250      0.07500    1.00001E-003    2.42155E-002
  D        0.00250      0.12500    1.00000E-003    2.29512E-002
  D        0.00250      0.17500    1.00000E-003    2.16870E-002
  D        0.00250      0.22500    1.00000E-003    2.04227E-002
  D        0.00250      0.27500    1.00000E-003    1.91585E-002
  D        0.00250      0.32500    1.00000E-003    1.78942E-002
  D        0.00250      0.37500    1.00000E-003    1.66300E-002
  D        0.00250      0.42500    1.00000E-003    1.53657E-002
  D        0.00250      0.47500    1.00000E-003    1.41014E-002
  D        0.00250      0.52500    1.00000E-003    1.28372E-002
  D        0.00250      0.57500    1.00000E-003    1.15729E-002
  D        0.00250      0.62500    1.00000E-003    1.03087E-002
  D        0.00250      0.67500    1.00000E-003    9.04444E-003
  D        0.00250      0.72500    1.00000E-003    7.78019E-003
  D        0.00250      0.77500    1.00000E-003    6.51594E-003
  D        0.00250      0.82500    1.00000E-003    5.25169E-003
  D        0.00250      0.87500    1.00000E-003    3.98744E-003
  D        0.00250      0.92500    9.99993E-004    2.72309E-003
  D        0.00250      0.97500    9.98841E-004    1.44222E-003
  D        0.00250      1.00000    9.42741E-004    0.00000E+000
  D        0.00278      0.00000    1.06030E-003    2.69279E-002
  D        0.00278      0.02500    1.00129E-003    2.54987E-002
  D        0.00278      0.07500    1.00001E-003    2.42174E-002
  D        0.00278      0.12500    1.00000E-003    2.29531E-002
  D        0.00278      0.17500    1.00000E-003    2.16888E-002
  D        0.00278      0.22500    1.00000E-003    2.04246E-002
  D        0.00278      0.27500    1.00000E-003    1.91603E-002
  D        0.00278      0.32500    1.00000E-003    1.78961E-002
  D        0.00278      0.37500    1.00000E-003    1.66318E-002
  D        0.00278      0.42500    1.00000E-003    1.53676E-002
  D        0.00278      0.47500    1.00000E-003    1.41033E-002
  D        0.00278      0.52500    1.00000E-003    1.28391E-002
  D        0.00278      0.57500    1.00000E-003    1.15748E-002
  D        0.00278      0.62500    1.00000E-003    1.03106E-002
  D        0.00278      0.67500    1.00000E-003    9.04632E-003
  D        0.00278      0.72500    1.00000E-003    7.78207E-003
  D        0.00278      0.77500    1.00000E-003    6.51782E-003
  D        0.00278      0.82500    1.00000E-003    5.25357E-003
  D        0.00278      0.87500    1.00000E-003    3.98932E-003
  D        0.00278      0.92500    9.99992E-004    2.72495E-003
  D        0.00278      0.97500    9.98713E-004    1.44225E-003
  D        0.00278      1.00000    9.42619E-004    0.00000E+000
  D        0.00306      0.00000    1.06044E-003    2.69315E-002
  D        0.00306      0.02500    1.00141E-003    2.55022E-002
  D        0.00306      0.07500    1.00001E-003    2.42193E-002
  D        0.00306      0.12500    1.00000E-003    2.29550E-002
  D        0.00306      0.17500    1.00000E-003    2.16907E-002
  D        0.00306      0.22500    1.00000E-003    2.04265E-002
  D        0.00306      0.27500    1.00000E-003    1.91622E-002
  D        0.00306      0.32500    1.00000E-003    1.78980E-002
  D        0.00306      0.37500    1.00000E-003    1.66337E-002
  D        0.00306      0.42500    1.00000E-003    1.53695E-002
  D        0.00306      0.47500    1.00000E-003    1.41052E-002
  D        0.00306      0.52500    1.00000E-003    1.28410E-002
  D        0.00306      0.57500    1.00000E-003    1.15767E-002
  D        0.00306      0.62500    1.00000E-003    1.03125E-002
  D        0.00306      0.67500    1.00000E-003    9.04820E-003
  D        0.00306      0.72500    1.00000E-003    7.78395E-003
  D        0.00306      0.77500    1.00000E-003    6.51970E-003
  D        0.00306      0.82500    1.00000E-003    5.25545E-003
  D        0.00306      0.87500    1.00000E-003    3.99120E-003
  D        0.00306      0.92500    9.99990E-004    2.72681E-003
  D        0.00306      0.97500    9.98585E-004    1.44229E-003
  D        0.00306      1.00000    9.42497E-004    0.00000E+000
  D        0.00333      0.00000    1.06057E-003    2.69350E-002
  D        0.00333      0.02500    1.00154E-003    2.55058E-002
  D        0.00333      0.07500    1.00001E-003    2.42212E-002
  D        0.00333      0.12500    1.00000E-003    2.29568E-002
  D        0.00333      0.17500    1.00000E-003    2.16926E-002
  D        0.00333      0.22500    1.00000E-003    2.04283E-002
  D        0.00333      0.27500    1.00000E-003    1.91641E-002
  D        0.00333      0.32500    1.00000E-003    1.78998E-002
  D        0.00333      0.37500    1.00000E-003    1.66356E-002
  D        0.00333      0.42500    1.00000E-003    1.53713E-002
  D        0.00333      0.47500    1.00000E-003    1.41071E-002
  D        0.00333      0.52500    1.00000E-003    1.28428E-002
  D        0.00333      0.57500    1.00000E-003    1.15786E-002
  D        0.00333      0.62500    1.00000E-003    1.03143E-002
  D        0.00333      0.67500    1.00000E-003    9.05008E-003
  D        0.00333      0.72500    1.00000E-003    7.78583E-003
  D        0.00333      0.77500    1.00000E-003    6.52158E-003
  D        0.00333      0.82500    1.00000E-003    5.25732E-003
  D        0.00333      0.87500    1.00000E-003    3.99307E-003
  D        0.00333      0.92500    9.99989E-004    2.72866E-003
  D        0.00333      0.97500    9.98458E-004    1.44232E-003
  D        0.00333      1.00000    9.42376E-004    0.00000E+000
  D        0.00361      0.00000    1.06071E-003    2.69386E-002
  D        0.00361      0.02500    1.00167E-003    2.55094E-002
  D        0.00361      0.07500    1.00001E-003    2.42231E-002
  D        0.00361      0.12500    1.00000E-003    2.29587E-002
  D        0.00361      0.17500    1.00000E-003    2.16945E-002
  D        0.00361      0.22500    1.00000E-003    2.04302E-002
  D        0.00361      0.27500    1.00000E-003    1.91660E-002
  D        0.00361      0.32500    1.00000E-003    1.79017E-002
  D        0.00361      0.37500    1.00000E-003    1.66375E-002
  D        0.00361      0.42500    1.00000E-003    1.53732E-002
  D        0.00361      0.47500    1.00000E-003    1.41090E-002
  D        0.00361      0.52500    1.00000E-003    1.28447E-002
  D        0.00361      0.57500    1.00000E-003    1.15805E-002
  D        0.00361      0.62500    1.00000E-003    1.03162E-002
  D        0.00361      0.67500    1.00000E-003    9.05195E-003
  D        0.00361      0.72500    1.00000E-003    7.78770E-003
  D        0.00361      0.77500    1.00000E-003    6.52345E-003
  D        0.00361      0.82500    1.00000E-003    5.25920E-003
  D        0.00361      0.87500    1.00000E-003    3.99495E-003
  D        0.00361      0.92500    9.99987E-004    2.73050E-003
  D        0.00361      0.97500    9.98330E-004    1.44235E-003
  D        0.00361      1.00000    9.42254E-004    0.00000E+000
