        Time         Position             x_O2            x_H2O          Flux_O2         Flux_H2O
       hours               ξ                                                                    
     0.00000   0.00000000E+00   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   2.00000000E-02   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   4.00000000E-02   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   6.00000000E-02   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   8.00000000E-02   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   1.00000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   1.20000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   1.40000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   1.60000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   1.80000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   2.00000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   2.20000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   2.40000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   2.60000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   2.80000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   3.00000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   3.20000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   3.40000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   3.60000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   3.80000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   4.00000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   4.20000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   4.40000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   4.60000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   4.80000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   5.00000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   5.20000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   5.40000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   5.60000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   5.80000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   6.00000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
     0.00000   6.20000000E-01   0.00000000E+00   9.99996396E-01   0.00000000E+00   0.00000000E+00
