  Iters          DeltaV        Position            Conc           Phi_1           i_rxn
    ###           Volts              cm           mol/L           Volts           A/cm2
 126880     1.10000E-02     7.12500E-01     9.57491E-01     0.00000E+00     6.53524E-05
 126880     1.10000E-02     7.37500E-01     9.52794E-01     0.00000E+00     6.53524E-05
 126880     1.10000E-02     7.62500E-01     9.48117E-01     0.00000E+00     6.53524E-05
 126880     1.10000E-02     7.87500E-01     9.43458E-01     0.00000E+00     6.53524E-05
 126880     1.10000E-02     8.12500E-01     9.38818E-01     0.00000E+00     6.53524E-05
 126880     1.10000E-02     8.37500E-01     9.34196E-01     0.00000E+00     6.53524E-05
 126880     1.10000E-02     8.62500E-01     9.29592E-01     0.00000E+00     6.53524E-05
 126880     1.10000E-02     8.87500E-01     9.25005E-01     0.00000E+00     6.53524E-05
 126880     1.10000E-02     9.12500E-01     9.20435E-01     0.00000E+00     6.53524E-05
 126880     1.10000E-02     9.37500E-01     9.15882E-01     0.00000E+00     6.53524E-05
 126880     1.10000E-02     9.62500E-01     9.11346E-01     0.00000E+00     6.53524E-05
 126880     1.10000E-02     9.87500E-01     9.06826E-01     0.00000E+00     6.53524E-05
 126880     1.10000E-02     1.00000E+00     9.04574E-01    -5.77075E-03     6.53524E-05
 144750     2.10000E-02     0.00000E+00     1.20447E+00     9.51302E-03     1.24765E-04
 144750     2.10000E-02     1.25000E-02     1.19854E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     3.75000E-02     1.18682E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     6.25000E-02     1.17525E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     8.75000E-02     1.16383E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     1.12500E-01     1.15255E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     1.37500E-01     1.14141E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     1.62500E-01     1.13041E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     1.87500E-01     1.11953E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     2.12500E-01     1.10879E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     2.37500E-01     1.09817E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     2.62500E-01     1.08768E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     2.87500E-01     1.07730E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     3.12500E-01     1.06704E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     3.37500E-01     1.05690E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     3.62500E-01     1.04686E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     3.87500E-01     1.03694E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     4.12500E-01     1.02712E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     4.37500E-01     1.01740E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     4.62500E-01     1.00779E+00     0.00000E+00     1.24765E-04
 144750     2.10000E-02     4.87500E-01     9.98272E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     5.12500E-01     9.88852E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     5.37500E-01     9.79526E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     5.62500E-01     9.70292E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     5.87500E-01     9.61149E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     6.12500E-01     9.52093E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     6.37500E-01     9.43124E-01     0.00000E+00     1.24765E-04
 144750     2.10000E-02     6.62500E-01     9.34240E-01     0.00000E+00     1.24765E-04
