        Time         Position             x_Na             x_Cl            x_H2O          Flux_Na          Flux_Cl         Flux_H2O              Phi
       hours               ξ                                                                                                                  Volts
     0.00000   1.60000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.64000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.68000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.72000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.76000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.80000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.84000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.88000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.92000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.96000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.00000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.04000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.08000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.12000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.16000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.20000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.24000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.28000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.32000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.36000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.40000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.44000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.48000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.52000000E-01   1.00000000E+01   1.00000000E+01   3.55000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
