State         Time     Position         c_LiPF6            Φ_2
  CDR        hours           um          mol/mL               V
  D        0.00111      0.97500    9.99802E-004    5.54059E-004
  D        0.00111      1.00000    9.78229E-004    0.00000E+000
  D        0.00139      0.00000    1.02212E-003    3.05721E-002
  D        0.00139      0.02500    1.00025E-003    3.00226E-002
  D        0.00139      0.07500    1.00000E-003    2.84740E-002
  D        0.00139      0.12500    1.00000E-003    2.69227E-002
  D        0.00139      0.17500    1.00000E-003    2.53715E-002
  D        0.00139      0.22500    1.00000E-003    2.38202E-002
  D        0.00139      0.27500    1.00000E-003    2.22690E-002
  D        0.00139      0.32500    1.00000E-003    2.07178E-002
  D        0.00139      0.37500    1.00000E-003    1.91665E-002
  D        0.00139      0.42500    1.00000E-003    1.76153E-002
  D        0.00139      0.47500    1.00000E-003    1.60640E-002
  D        0.00139      0.52500    1.00000E-003    1.45128E-002
  D        0.00139      0.57500    1.00000E-003    1.29615E-002
  D        0.00139      0.62500    1.00000E-003    1.14103E-002
  D        0.00139      0.67500    1.00000E-003    9.85901E-003
  D        0.00139      0.72500    1.00000E-003    8.30777E-003
  D        0.00139      0.77500    1.00000E-003    6.75652E-003
  D        0.00139      0.82500    1.00000E-003    5.20527E-003
  D        0.00139      0.87500    1.00000E-003    3.65402E-003
  D        0.00139      0.92500    9.99999E-004    2.10278E-003
  D        0.00139      0.97500    9.99752E-004    5.54069E-004
  D        0.00139      1.00000    9.78180E-004    0.00000E+000
  D        0.00167      0.00000    1.02217E-003    3.05711E-002
  D        0.00167      0.02500    1.00030E-003    3.00215E-002
  D        0.00167      0.07500    1.00000E-003    2.84735E-002
  D        0.00167      0.12500    1.00000E-003    2.69222E-002
  D        0.00167      0.17500    1.00000E-003    2.53710E-002
  D        0.00167      0.22500    1.00000E-003    2.38198E-002
  D        0.00167      0.27500    1.00000E-003    2.22685E-002
  D        0.00167      0.32500    1.00000E-003    2.07173E-002
  D        0.00167      0.37500    1.00000E-003    1.91660E-002
  D        0.00167      0.42500    1.00000E-003    1.76148E-002
  D        0.00167      0.47500    1.00000E-003    1.60635E-002
  D        0.00167      0.52500    1.00000E-003    1.45123E-002
  D        0.00167      0.57500    1.00000E-003    1.29610E-002
  D        0.00167      0.62500    1.00000E-003    1.14098E-002
  D        0.00167      0.67500    1.00000E-003    9.85852E-003
  D        0.00167      0.72500    1.00000E-003    8.30727E-003
  D        0.00167      0.77500    1.00000E-003    6.75602E-003
  D        0.00167      0.82500    1.00000E-003    5.20477E-003
  D        0.00167      0.87500    1.00000E-003    3.65352E-003
  D        0.00167      0.92500    9.99999E-004    2.10229E-003
  D        0.00167      0.97500    9.99703E-004    5.54079E-004
  D        0.00167      1.00000    9.78131E-004    0.00000E+000
  D        0.00194      0.00000    1.02222E-003    3.05700E-002
  D        0.00194      0.02500    1.00035E-003    3.00205E-002
  D        0.00194      0.07500    1.00000E-003    2.84730E-002
  D        0.00194      0.12500    1.00000E-003    2.69218E-002
  D        0.00194      0.17500    1.00000E-003    2.53705E-002
  D        0.00194      0.22500    1.00000E-003    2.38193E-002
  D        0.00194      0.27500    1.00000E-003    2.22680E-002
  D        0.00194      0.32500    1.00000E-003    2.07168E-002
  D        0.00194      0.37500    1.00000E-003    1.91655E-002
  D        0.00194      0.42500    1.00000E-003    1.76143E-002
  D        0.00194      0.47500    1.00000E-003    1.60630E-002
  D        0.00194      0.52500    1.00000E-003    1.45118E-002
  D        0.00194      0.57500    1.00000E-003    1.29605E-002
  D        0.00194      0.62500    1.00000E-003    1.14093E-002
  D        0.00194      0.67500    1.00000E-003    9.85802E-003
  D        0.00194      0.72500    1.00000E-003    8.30677E-003
  D        0.00194      0.77500    1.00000E-003    6.75552E-003
  D        0.00194      0.82500    1.00000E-003    5.20428E-003
  D        0.00194      0.87500    1.00000E-003    3.65303E-003
  D        0.00194      0.92500    9.99998E-004    2.10179E-003
  D        0.00194      0.97500    9.99653E-004    5.54089E-004
  D        0.00194      1.00000    9.78083E-004    0.00000E+000
  D        0.00222      0.00000    1.02227E-003    3.05690E-002
  D        0.00222      0.02500    1.00040E-003    3.00195E-002
  D        0.00222      0.07500    1.00000E-003    2.84725E-002
  D        0.00222      0.12500    1.00000E-003    2.69213E-002
  D        0.00222      0.17500    1.00000E-003    2.53700E-002
  D        0.00222      0.22500    1.00000E-003    2.38188E-002
  D        0.00222      0.27500    1.00000E-003    2.22675E-002
  D        0.00222      0.32500    1.00000E-003    2.07163E-002
  D        0.00222      0.37500    1.00000E-003    1.91650E-002
  D        0.00222      0.42500    1.00000E-003    1.76138E-002
  D        0.00222      0.47500    1.00000E-003    1.60625E-002
  D        0.00222      0.52500    1.00000E-003    1.45113E-002
  D        0.00222      0.57500    1.00000E-003    1.29600E-002
  D        0.00222      0.62500    1.00000E-003    1.14088E-002
  D        0.00222      0.67500    1.00000E-003    9.85752E-003
  D        0.00222      0.72500    1.00000E-003    8.30628E-003
  D        0.00222      0.77500    1.00000E-003    6.75503E-003
  D        0.00222      0.82500    1.00000E-003    5.20378E-003
  D        0.00222      0.87500    1.00000E-003    3.65253E-003
  D        0.00222      0.92500    9.99998E-004    2.10130E-003
  D        0.00222      0.97500    9.99604E-004    5.54100E-004
  D        0.00222      1.00000    9.78034E-004    0.00000E+000
  D        0.00250      0.00000    1.02232E-003    3.05680E-002
  D        0.00250      0.02500    1.00045E-003    3.00184E-002
  D        0.00250      0.07500    1.00000E-003    2.84720E-002
  D        0.00250      0.12500    1.00000E-003    2.69208E-002
  D        0.00250      0.17500    1.00000E-003    2.53695E-002
  D        0.00250      0.22500    1.00000E-003    2.38183E-002
  D        0.00250      0.27500    1.00000E-003    2.22670E-002
  D        0.00250      0.32500    1.00000E-003    2.07158E-002
  D        0.00250      0.37500    1.00000E-003    1.91645E-002
  D        0.00250      0.42500    1.00000E-003    1.76133E-002
  D        0.00250      0.47500    1.00000E-003    1.60620E-002
  D        0.00250      0.52500    1.00000E-003    1.45108E-002
  D        0.00250      0.57500    1.00000E-003    1.29595E-002
