        Time         Position             x_O2             x_OH             x_Na             x_Cl            x_H2O          Flux_O2          Flux_OH          Flux_Na          Flux_Cl         Flux_H2O
       hours               ξ                                                                                                                                                                          
     0.00000   1.16000000E-01   1.04504505E-07   3.49909910E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.20000000E-01   1.08108108E-07   3.49549550E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.24000000E-01   1.11711712E-07   3.49189189E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.28000000E-01   1.15315315E-07   3.48828829E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.32000000E-01   1.18918919E-07   3.48468468E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.36000000E-01   1.22522523E-07   3.48108108E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.40000000E-01   1.26126126E-07   3.47747748E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.44000000E-01   1.29729730E-07   3.47387387E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.48000000E-01   1.33333333E-07   3.47027027E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.52000000E-01   1.36936937E-07   3.46666667E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.56000000E-01   1.40540541E-07   3.46306306E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.60000000E-01   1.44144144E-07   3.45945946E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.64000000E-01   1.47747748E-07   3.45585586E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.68000000E-01   1.51351351E-07   3.45225225E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.72000000E-01   1.54954955E-07   3.44864865E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.76000000E-01   1.58558559E-07   3.44504505E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.80000000E-01   1.62162162E-07   3.44144144E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.84000000E-01   1.65765766E-07   3.43783784E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.88000000E-01   1.69369369E-07   3.43423423E-06   1.80180180E-02   1.80180180E-02   9.63960360E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
