        Time         Position             x_Na             x_Cl            x_H2O          Flux_Na          Flux_Cl         Flux_H2O              Phi
       hours               ξ                                                                                                                  Volts
     0.00000   0.00000000E+00   1.00000000E+00   1.00000000E+00   5.35000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.00000000E-03   1.00000000E+00   1.00000000E+00   5.35000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.00000000E-03   1.00000000E+00   1.00000000E+00   5.35000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.20000000E-02   1.00000000E+00   1.00000000E+00   5.35000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.60000000E-02   1.00000000E+00   1.00000000E+00   5.35000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.00000000E-02   1.00000000E+00   1.00000000E+00   5.35000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.40000000E-02   1.00000000E+00   1.00000000E+00   5.35000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.80000000E-02   1.00000000E+00   1.00000000E+00   5.35000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.20000000E-02   1.00000000E+00   1.00000000E+00   5.35000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.60000000E-02   1.00000000E+00   1.00000000E+00   5.35000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.00000000E-02   1.00000000E+00   1.00000000E+00   5.35000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.40000000E-02   1.00000000E+00   1.00000000E+00   5.35000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.80000000E-02   1.00000000E+00   1.00000000E+00   5.35000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.20000000E-02   1.00000000E+00   1.00000000E+00   5.35000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
