        Time        Position            Conc
       hours              ξ              Θ
     0.00000     0.00000E+00     1.00000E+00
     0.00000     2.00000E-02     1.00000E+00
     0.00000     6.00000E-02     1.00000E+00
     0.00000     1.00000E-01     1.00000E+00
     0.00000     1.40000E-01     1.00000E+00
     0.00000     1.80000E-01     1.00000E+00
     0.00000     2.20000E-01     1.00000E+00
     0.00000     2.60000E-01     1.00000E+00
     0.00000     3.00000E-01     1.00000E+00
     0.00000     3.40000E-01     1.00000E+00
     0.00000     3.80000E-01     1.00000E+00
     0.00000     4.20000E-01     1.00000E+00
     0.00000     4.60000E-01     1.00000E+00
     0.00000     5.00000E-01     1.00000E+00
     0.00000     5.40000E-01     1.00000E+00
     0.00000     5.80000E-01     1.00000E+00
     0.00000     6.20000E-01     1.00000E+00
     0.00000     6.60000E-01     1.00000E+00
     0.00000     7.00000E-01     1.00000E+00
     0.00000     7.40000E-01     1.00000E+00
     0.00000     7.80000E-01     1.00000E+00
     0.00000     8.20000E-01     1.00000E+00
     0.00000     8.60000E-01     1.00000E+00
     0.00000     9.00000E-01     1.00000E+00
     0.00000     9.40000E-01     1.00000E+00
     0.00000     9.80000E-01     1.00000E+00
     0.00000     1.02000E+00     1.00000E+00
     0.00000     1.06000E+00     1.00000E+00
     0.00000     1.10000E+00     1.00000E+00
     0.00000     1.14000E+00     1.00000E+00
     0.00000     1.18000E+00     1.00000E+00
     0.00000     1.22000E+00     1.00000E+00
     0.00000     1.26000E+00     1.00000E+00
     0.00000     1.30000E+00     1.00000E+00
     0.00000     1.34000E+00     1.00000E+00
     0.00000     1.38000E+00     1.00000E+00
     0.00000     1.42000E+00     1.00000E+00
     0.00000     1.46000E+00     1.00000E+00
     0.00000     1.50000E+00     1.00000E+00
     0.00000     1.54000E+00     1.00000E+00
     0.00000     1.58000E+00     1.00000E+00
     0.00000     1.62000E+00     1.00000E+00
     0.00000     1.66000E+00     1.00000E+00
     0.00000     1.70000E+00     1.00000E+00
     0.00000     1.74000E+00     1.00000E+00
     0.00000     1.78000E+00     1.00000E+00
     0.00000     1.82000E+00     1.00000E+00
     0.00000     1.86000E+00     1.00000E+00
     0.00000     1.90000E+00     1.00000E+00
     0.00000     1.94000E+00     1.00000E+00
     0.00000     1.98000E+00     1.00000E+00
     0.00000     2.02000E+00     1.00000E+00
     0.00000     2.06000E+00     1.00000E+00
     0.00000     2.10000E+00     1.00000E+00
     0.00000     2.14000E+00     1.00000E+00
     0.00000     2.18000E+00     1.00000E+00
     0.00000     2.22000E+00     1.00000E+00
     0.00000     2.26000E+00     1.00000E+00
     0.00000     2.30000E+00     1.00000E+00
     0.00000     2.34000E+00     1.00000E+00
     0.00000     2.38000E+00     1.00000E+00
     0.00000     2.42000E+00     1.00000E+00
     0.00000     2.46000E+00     1.00000E+00
     0.00000     2.50000E+00     1.00000E+00
     0.00000     2.54000E+00     1.00000E+00
     0.00000     2.58000E+00     1.00000E+00
     0.00000     2.62000E+00     1.00000E+00
     0.00000     2.66000E+00     1.00000E+00
     0.00000     2.70000E+00     1.00000E+00
     0.00000     2.74000E+00     1.00000E+00
     0.00000     2.78000E+00     1.00000E+00
     0.00000     2.82000E+00     1.00000E+00
     0.00000     2.86000E+00     1.00000E+00
     0.00000     2.90000E+00     1.00000E+00
     0.00000     2.94000E+00     1.00000E+00
     0.00000     2.98000E+00     1.00000E+00
     0.00000     3.02000E+00     1.00000E+00
     0.00000     3.06000E+00     1.00000E+00
     0.00000     3.10000E+00     1.00000E+00
     0.00000     3.14000E+00     1.00000E+00
     0.00000     3.18000E+00     1.00000E+00
     0.00000     3.22000E+00     1.00000E+00
     0.00000     3.26000E+00     1.00000E+00
     0.00000     3.30000E+00     1.00000E+00
     0.00000     3.34000E+00     1.00000E+00
     0.00000     3.38000E+00     1.00000E+00
     0.00000     3.42000E+00     1.00000E+00
     0.00000     3.46000E+00     1.00000E+00
     0.00000     3.50000E+00     1.00000E+00
     0.00000     3.54000E+00     1.00000E+00
     0.00000     3.58000E+00     1.00000E+00
     0.00000     3.62000E+00     1.00000E+00
     0.00000     3.66000E+00     1.00000E+00
     0.00000     3.70000E+00     1.00000E+00
     0.00000     3.74000E+00     1.00000E+00
     0.00000     3.78000E+00     1.00000E+00
     0.00000     3.82000E+00     1.00000E+00
     0.00000     3.86000E+00     1.00000E+00
     0.00000     3.90000E+00     1.00000E+00
     0.00000     3.94000E+00     1.00000E+00
     0.00000     3.98000E+00     1.00000E+00
     0.00000     4.00000E+00     1.00000E+00
     0.83333     0.00000E+00     0.00000E+00
     0.83333     2.00000E-02     2.21977E-02
     0.83333     6.00000E-02     6.65931E-02
     0.83333     1.00000E-01     1.10980E-01
     0.83333     1.40000E-01     1.55333E-01
     0.83333     1.80000E-01     1.99609E-01
     0.83333     2.20000E-01     2.43749E-01
     0.83333     2.60000E-01     2.87677E-01
     0.83333     3.00000E-01     3.31302E-01
     0.83333     3.40000E-01     3.74516E-01
     0.83333     3.80000E-01     4.17199E-01
     0.83333     4.20000E-01     4.59218E-01
     0.83333     4.60000E-01     5.00431E-01
     0.83333     5.00000E-01     5.40686E-01
     0.83333     5.40000E-01     5.79828E-01
     0.83333     5.80000E-01     6.17700E-01
     0.83333     6.20000E-01     6.54147E-01
     0.83333     6.60000E-01     6.89020E-01
     0.83333     7.00000E-01     7.22178E-01
     0.83333     7.40000E-01     7.53496E-01
     0.83333     7.80000E-01     7.82866E-01
     0.83333     8.20000E-01     8.10201E-01
     0.83333     8.60000E-01     8.35436E-01
     0.83333     9.00000E-01     8.58535E-01
     0.83333     9.40000E-01     8.79487E-01
     0.83333     9.80000E-01     8.98310E-01
     0.83333     1.02000E+00     9.15053E-01
     0.83333     1.06000E+00     9.29786E-01
     0.83333     1.10000E+00     9.42607E-01
     0.83333     1.14000E+00     9.53633E-01
     0.83333     1.18000E+00     9.62999E-01
     0.83333     1.22000E+00     9.70854E-01
     0.83333     1.26000E+00     9.77351E-01
     0.83333     1.30000E+00     9.82649E-01
     0.83333     1.34000E+00     9.86905E-01
     0.83333     1.38000E+00     9.90272E-01
     0.83333     1.42000E+00     9.92891E-01
     0.83333     1.46000E+00     9.94894E-01
     0.83333     1.50000E+00     9.96399E-01
     0.83333     1.54000E+00     9.97508E-01
     0.83333     1.58000E+00     9.98310E-01
     0.83333     1.62000E+00     9.98878E-01
     0.83333     1.66000E+00     9.99271E-01
     0.83333     1.70000E+00     9.99537E-01
     0.83333     1.74000E+00     9.99713E-01
     0.83333     1.78000E+00     9.99827E-01
     0.83333     1.82000E+00     9.99898E-01
     0.83333     1.86000E+00     9.99942E-01
     0.83333     1.90000E+00     9.99968E-01
     0.83333     1.94000E+00     9.99983E-01
     0.83333     1.98000E+00     9.99991E-01
     0.83333     2.02000E+00     9.99995E-01
     0.83333     2.06000E+00     9.99998E-01
     0.83333     2.10000E+00     9.99999E-01
     0.83333     2.14000E+00     1.00000E+00
     0.83333     2.18000E+00     1.00000E+00
     0.83333     2.22000E+00     1.00000E+00
     0.83333     2.26000E+00     1.00000E+00
     0.83333     2.30000E+00     1.00000E+00
     0.83333     2.34000E+00     1.00000E+00
     0.83333     2.38000E+00     1.00000E+00
     0.83333     2.42000E+00     1.00000E+00
     0.83333     2.46000E+00     1.00000E+00
     0.83333     2.50000E+00     1.00000E+00
     0.83333     2.54000E+00     1.00000E+00
     0.83333     2.58000E+00     1.00000E+00
     0.83333     2.62000E+00     1.00000E+00
     0.83333     2.66000E+00     1.00000E+00
     0.83333     2.70000E+00     1.00000E+00
     0.83333     2.74000E+00     1.00000E+00
     0.83333     2.78000E+00     1.00000E+00
     0.83333     2.82000E+00     1.00000E+00
     0.83333     2.86000E+00     1.00000E+00
     0.83333     2.90000E+00     1.00000E+00
     0.83333     2.94000E+00     1.00000E+00
     0.83333     2.98000E+00     1.00000E+00
     0.83333     3.02000E+00     1.00000E+00
