        Time     Position          Conc_0          Conc_x
       hours           um           mol/L           mol/L
     0.20000      0.43750     9.32845E-01     6.71554E-02
     0.20000      0.46250     9.32843E-01     6.71570E-02
     0.20000      0.48750     9.32842E-01     6.71576E-02
     0.20000      0.51250     9.32842E-01     6.71579E-02
     0.20000      0.53750     9.32842E-01     6.71581E-02
     0.20000      0.56250     9.32842E-01     6.71581E-02
     0.20000      0.58750     9.32842E-01     6.71581E-02
     0.20000      0.61250     9.32842E-01     6.71581E-02
     0.20000      0.63750     9.32842E-01     6.71581E-02
     0.20000      0.66250     9.32842E-01     6.71581E-02
     0.20000      0.68750     9.32842E-01     6.71581E-02
     0.20000      0.71250     9.32842E-01     6.71581E-02
     0.20000      0.73750     9.32842E-01     6.71581E-02
     0.20000      0.76250     9.32842E-01     6.71581E-02
     0.20000      0.78750     9.32842E-01     6.71581E-02
     0.20000      0.81250     9.32842E-01     6.71581E-02
     0.20000      0.83750     9.32842E-01     6.71581E-02
     0.20000      0.86250     9.32842E-01     6.71581E-02
     0.20000      0.88750     9.32842E-01     6.71581E-02
     0.20000      0.91250     9.32842E-01     6.71581E-02
     0.20000      0.93750     9.32842E-01     6.71581E-02
     0.20000      0.96250     9.32842E-01     6.71581E-02
     0.20000      0.98750     9.32842E-01     6.71581E-02
     0.20000      1.00000     9.32842E-01     6.71581E-02
     0.30000      0.00000     1.00000E+00     0.00000E+00
     0.30000      0.01250     9.86378E-01     1.36225E-02
     0.30000      0.03750     9.64867E-01     3.51325E-02
     0.30000      0.06250     9.48148E-01     5.18520E-02
     0.30000      0.08750     9.35366E-01     6.46340E-02
     0.30000      0.11250     9.25764E-01     7.42364E-02
     0.30000      0.13750     9.18681E-01     8.13193E-02
     0.30000      0.16250     9.13554E-01     8.64457E-02
     0.30000      0.18750     9.09916E-01     9.00839E-02
     0.30000      0.21250     9.07385E-01     9.26146E-02
     0.30000      0.23750     9.05661E-01     9.43391E-02
     0.30000      0.26250     9.04510E-01     9.54899E-02
     0.30000      0.28750     9.03758E-01     9.62417E-02
     0.30000      0.31250     9.03278E-01     9.67225E-02
     0.30000      0.33750     9.02977E-01     9.70233E-02
     0.30000      0.36250     9.02792E-01     9.72075E-02
     0.30000      0.38750     9.02682E-01     9.73179E-02
     0.30000      0.41250     9.02617E-01     9.73826E-02
     0.30000      0.43750     9.02580E-01     9.74197E-02
     0.30000      0.46250     9.02560E-01     9.74405E-02
     0.30000      0.48750     9.02548E-01     9.74519E-02
     0.30000      0.51250     9.02542E-01     9.74581E-02
     0.30000      0.53750     9.02539E-01     9.74613E-02
     0.30000      0.56250     9.02537E-01     9.74629E-02
     0.30000      0.58750     9.02536E-01     9.74638E-02
     0.30000      0.61250     9.02536E-01     9.74642E-02
     0.30000      0.63750     9.02536E-01     9.74644E-02
     0.30000      0.66250     9.02536E-01     9.74645E-02
     0.30000      0.68750     9.02535E-01     9.74645E-02
     0.30000      0.71250     9.02535E-01     9.74646E-02
     0.30000      0.73750     9.02535E-01     9.74646E-02
     0.30000      0.76250     9.02535E-01     9.74646E-02
     0.30000      0.78750     9.02535E-01     9.74646E-02
     0.30000      0.81250     9.02535E-01     9.74646E-02
     0.30000      0.83750     9.02535E-01     9.74646E-02
     0.30000      0.86250     9.02535E-01     9.74646E-02
     0.30000      0.88750     9.02535E-01     9.74646E-02
     0.30000      0.91250     9.02535E-01     9.74646E-02
     0.30000      0.93750     9.02535E-01     9.74646E-02
     0.30000      0.96250     9.02535E-01     9.74646E-02
     0.30000      0.98750     9.02535E-01     9.74646E-02
     0.30000      1.00000     9.02535E-01     9.74646E-02
     0.40000      0.00000     1.00000E+00     0.00000E+00
     0.40000      0.01250     9.84588E-01     1.54121E-02
     0.40000      0.03750     9.59542E-01     4.04577E-02
     0.40000      0.06250     9.39417E-01     6.05835E-02
     0.40000      0.08750     9.23434E-01     7.65655E-02
     0.40000      0.11250     9.10901E-01     8.90990E-02
     0.40000      0.13750     9.01200E-01     9.87998E-02
     0.40000      0.16250     8.93794E-01     1.06206E-01
     0.40000      0.18750     8.88220E-01     1.11780E-01
     0.40000      0.21250     8.84085E-01     1.15915E-01
     0.40000      0.23750     8.81063E-01     1.18937E-01
     0.40000      0.26250     8.78889E-01     1.21111E-01
     0.40000      0.28750     8.77349E-01     1.22651E-01
     0.40000      0.31250     8.76276E-01     1.23724E-01
     0.40000      0.33750     8.75539E-01     1.24461E-01
     0.40000      0.36250     8.75042E-01     1.24958E-01
     0.40000      0.38750     8.74712E-01     1.25288E-01
     0.40000      0.41250     8.74496E-01     1.25504E-01
     0.40000      0.43750     8.74358E-01     1.25642E-01
     0.40000      0.46250     8.74271E-01     1.25729E-01
     0.40000      0.48750     8.74216E-01     1.25784E-01
     0.40000      0.51250     8.74183E-01     1.25817E-01
     0.40000      0.53750     8.74163E-01     1.25837E-01
     0.40000      0.56250     8.74152E-01     1.25848E-01
     0.40000      0.58750     8.74145E-01     1.25855E-01
     0.40000      0.61250     8.74141E-01     1.25859E-01
     0.40000      0.63750     8.74139E-01     1.25861E-01
     0.40000      0.66250     8.74138E-01     1.25862E-01
     0.40000      0.68750     8.74137E-01     1.25863E-01
     0.40000      0.71250     8.74137E-01     1.25863E-01
     0.40000      0.73750     8.74136E-01     1.25864E-01
     0.40000      0.76250     8.74136E-01     1.25864E-01
     0.40000      0.78750     8.74136E-01     1.25864E-01
     0.40000      0.81250     8.74136E-01     1.25864E-01
     0.40000      0.83750     8.74136E-01     1.25864E-01
     0.40000      0.86250     8.74136E-01     1.25864E-01
     0.40000      0.88750     8.74136E-01     1.25864E-01
     0.40000      0.91250     8.74136E-01     1.25864E-01
     0.40000      0.93750     8.74136E-01     1.25864E-01
     0.40000      0.96250     8.74136E-01     1.25864E-01
     0.40000      0.98750     8.74136E-01     1.25864E-01
     0.40000      1.00000     8.74136E-01     1.25864E-01
     0.50000      0.00000     1.00000E+00     0.00000E+00
     0.50000      0.01250     9.83112E-01     1.68879E-02
     0.50000      0.03750     9.55142E-01     4.48579E-02
     0.50000      0.06250     9.32173E-01     6.78267E-02
     0.50000      0.08750     9.13480E-01     8.65196E-02
     0.50000      0.11250     8.98412E-01     1.01588E-01
     0.50000      0.13750     8.86387E-01     1.13613E-01
     0.50000      0.16250     8.76891E-01     1.23109E-01
     0.50000      0.18750     8.69474E-01     1.30526E-01
     0.50000      0.21250     8.63746E-01     1.36254E-01
     0.50000      0.23750     8.59374E-01     1.40626E-01
     0.50000      0.26250     8.56077E-01     1.43923E-01
     0.50000      0.28750     8.53620E-01     1.46380E-01
     0.50000      0.31250     8.51812E-01     1.48188E-01
     0.50000      0.33750     8.50499E-01     1.49501E-01
     0.50000      0.36250     8.49557E-01     1.50443E-01
     0.50000      0.38750     8.48890E-01     1.51110E-01
